"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX"
"10","0.8961724042892456","0.8876911401748657","0.9054432511329651","0.9330895841121674","0.920188844203949","0.9378907680511475","0.8202827215194702","0.773038923740387","0.8641213774681091","0.8007015705108642","0.7572333216667175","0.8220502734184265","0.8859599351882934","0.8808788061141968","0.8997105956077576","0.7756491422653198","0.7263240814208984","0.7983818054199219"
"11","0.8888137102127075","0.8772746324539185","0.8975321650505066","0.9262263476848602","0.9097598195075989","0.9526867866516113","0.8276499748229981","0.8071497678756714","0.8379760384559631","0.9664279699325562","0.9509727358818054","0.984158456325531","0.8849517464637756","0.872320830821991","0.8935705423355103","0.7691291332244873","0.7228896617889404","0.7855413556098938"
"12","0.8895696520805358","0.8815365433692932","0.8937129974365234","0.9322992861270905","0.9161263704299927","0.9392409920692444","0.8229035258293151","0.7840179800987244","0.857528567314148","0.9281649470329285","0.9057551026344299","0.944519579410553","0.8865737199783326","0.8784230947494507","0.9014130234718323","0.77412850856781","0.7576786279678345","0.7827333807945251"
"13","0.8868389368057251","0.8746289610862732","0.8973444104194641","0.9390138387680054","0.9208247065544128","0.9474555253982544","0.8443929791450501","0.8068200349807739","0.8625207543373108","0.9128395080566406","0.8968719244003296","0.9394558072090149","0.8904959559440613","0.8545454740524292","0.9090463519096375","0.7641084909439086","0.7408616542816162","0.8164958357810974"
"14","0.8885781168937683","0.8761904835700989","0.8984925746917725","0.93976791203022","0.9248075485229492","0.9600933790206909","0.8337427854537964","0.7914589047431946","0.859498918056488","0.9029067397117615","0.8658265471458435","0.9253731369972229","0.8958706736564637","0.8826538324356079","0.9047906994819641","0.7977418065071106","0.7748427391052246","0.812418520450592"
"15","0.8829845547676086","0.8730265498161316","0.8861777782440186","0.944416731595993","0.9368077516555786","0.9506843686103821","0.8547260522842407","0.8466295003890991","0.8624405860900879","0.8899056673049927","0.8535912036895752","0.9234209060668945","0.8935860991477966","0.8803257942199707","0.9081360697746277","0.7908347129821778","0.7681432366371155","0.8125618100166321"
"16","0.8825612187385559","0.8720085620880127","0.8922807574272156","0.9368744492530823","0.9295019507408142","0.9469485282897949","0.8458473920822144","0.7994726896286011","0.8695924878120422","0.8651226401329041","0.8368892073631287","0.8868986368179321","0.9007270216941834","0.894019365310669","0.911182701587677","0.7831301331520081","0.7398387789726257","0.8082860708236694"
"17","0.8817419528961181","0.8746761679649353","0.886951744556427","0.9424963295459747","0.9309758543968201","0.9475343227386475","0.8498843312263489","0.8162399530410767","0.8814537525177002","0.8488279819488526","0.8353413343429565","0.8663308620452881","0.8982081532478332","0.8911406993865967","0.905121386051178","0.7618846774101258","0.7257397770881653","0.7817654609680176"
"18","0.881950581073761","0.8711146116256714","0.8945280313491821","0.938439354300499","0.9234139919281006","0.948922336101532","0.8461127877235413","0.832135796546936","0.8569872379302979","0.8571298241615295","0.8441011309623718","0.8712121248245239","0.9018594741821289","0.8864011764526367","0.9147347211837769","0.7869638323783874","0.748285174369812","0.8105263113975525"
"19","0.8774836897850037","0.8671729564666748","0.8859800100326538","0.9470347464084625","0.9402532577514648","0.9508554935455322","0.8648656845092774","0.8551929593086243","0.8752272129058838","0.8067288279533387","0.7823779582977295","0.835218071937561","0.9036256432533264","0.8906047344207764","0.9111637473106384","0.7730157375335693","0.7489128708839417","0.802216649055481"
