"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"10","0.8568642139434814","0.8475868701934814","0.8759689927101135","0.56642284989357","0.5316329002380371","0.59989994764328","0.7700175046920776","0.7475618720054626","0.804201066493988","0.7551887989044189","0.7303075790405273","0.775693953037262","0.7624406218528748","0.7343086004257202","0.7866966724395752","0.7616904139518738","0.7323080897331238","0.7908226847648621"
"11","0.8705676436424256","0.8409602642059326","0.8863465785980225","0.58855339884758","0.5777694582939148","0.6037759184837341","0.7636159062385559","0.7091773152351379","0.7835708856582642","0.09619905203580856","0.03588397055864334","0.16066516935825348","0.7990247488021851","0.7841960787773132","0.8167041540145874","0.7840960383415222","0.7748187184333801","0.7991998195648193"
"12","0.8905226349830627","0.8777194023132324","0.9006001353263855","0.6040885299444199","0.5936484336853027","0.6194048523902893","0.7717679500579834","0.7213053107261658","0.8350837826728821","0.2317829430103302","0.17041760683059692","0.32370591163635254","0.8092773079872131","0.7698174715042114","0.8309577107429504","0.7712178111076355","0.7304326295852661","0.786821722984314"
"13","0.8933733463287353","0.8757189512252808","0.9148536920547485","0.5977431982755661","0.57126784324646","0.6089022159576416","0.7631407856941224","0.7370592355728149","0.7836959362030029","0.1925981491804123","0.1310327649116516","0.25581395626068115","0.8018754720687866","0.7643160820007324","0.8203300833702087","0.7714678525924683","0.7494373321533203","0.8004500865936279"
"14","0.8965241312980652","0.8753438591957092","0.9189797639846802","0.6162478029727936","0.5890222787857056","0.6335333585739136","0.7906976699829101","0.7721930742263794","0.8109527230262756","0.16971742659807204","0.11790447682142258","0.20455113053321838","0.8259564995765686","0.7864466309547424","0.8555889129638672","0.7850212574005127","0.7573143243789673","0.8089522123336792"
"15","0.9161540389060974","0.9019755125045776","0.9326081275939941","0.6348774582147598","0.5956488847732544","0.6885471343994141","0.802275562286377","0.7889472246170044","0.8290822505950928","0.15328832119703292","0.0905226320028305","0.22368091344833374","0.8235558867454529","0.7981995344161987","0.8452113270759583","0.7815703988075257","0.751187801361084","0.8112028241157532"
"16","0.927431857585907","0.9183545708656311","0.9317329525947571","0.6406914293766022","0.6072767972946167","0.6759189963340759","0.7928982257843018","0.7706926465034485","0.8062015771865845","0.18974743485450746","0.08877219259738922","0.24431107938289642","0.8385096311569213","0.8150787949562073","0.8599649667739868","0.7751437902450562","0.7444360852241516","0.7936984300613403"
"17","0.9237559318542481","0.916854202747345","0.9361090064048767","0.6694173663854599","0.5940235257148743","0.7354338765144348","0.8017004251480102","0.7668166756629944","0.8247061967849731","0.20407601892948152","0.13765941560268402","0.3227056860923767","0.8455864071846009","0.82883220911026","0.8637159466743469","0.7906726598739624","0.7563140988349915","0.8187046647071838"
"18","0.9243811011314392","0.9139785170555115","0.9332333207130432","0.6715428978204727","0.6562891006469727","0.6902976036071777","0.8186296582221985","0.803450882434845","0.8362090587615967","0.16794198900461196","0.06351587921380997","0.31357839703559875","0.8373843550682067","0.803575873374939","0.8528382182121277","0.7841210246086121","0.7629407644271851","0.8029507398605347"
"19","0.9382595658302307","0.9336084127426147","0.9424856305122375","0.6823581010103226","0.6596649289131165","0.7010502815246582","0.8104025959968567","0.7565641403198242","0.8462115526199341","0.16814203113317489","0.117779441177845","0.232183039188385","0.84913729429245","0.8318329453468323","0.8663415908813477","0.7946486592292785","0.7611902952194214","0.8415853977203369"
