"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"10","0.044503312557935715","0.025161970406770706","0.07363612204790115","0.19386384449899197","0.0887049064040184","0.2651227116584778","0.23298328816890718","0.17781813442707062","0.2656231224536896","0.5759106636047363","0.5428177714347839","0.5985708832740784","0.5239460706710816","0.4989306330680847","0.5533507466316223"
"11","0.03214206546545029","0.022265560925006866","0.043557167053222656","0.14015482179820538","0.08675889670848846","0.2378472238779068","0.24669393002986909","0.18692810833454132","0.32057416439056396","0.5710965991020203","0.5619655251502991","0.5899045467376709","0.5314291954040528","0.5089659690856934","0.577833354473114"
"12","0.03143127076327801","0.02901436574757099","0.03581148758530617","0.11229569092392921","0.07734162360429764","0.15040302276611328","0.3110072731971741","0.26393190026283264","0.35788479447364807","0.5735654711723328","0.5544222593307495","0.5946939587593079","0.5167287349700928","0.5001592636108398","0.5403477549552917"
"13","0.03856596350669861","0.03259218484163284","0.04356297850608826","0.11131998151540756","0.06406570971012115","0.1549050360918045","0.3982772767543793","0.28652483224868774","0.46800732612609863","0.5747836589813232","0.5686869621276855","0.5910601019859314","0.5405022978782654","0.5173144936561584","0.5536780953407288"
"14","0.03660466261208058","0.02881762944161892","0.04910653457045555","0.10970641113817692","0.04092852771282196","0.21782642602920532","0.4297153115272522","0.2881578803062439","0.6244019269943237","0.5650921702384949","0.5502310991287231","0.582575798034668","0.5215681076049805","0.5036803483963013","0.5432674884796143"
"15","0.03848974034190178","0.025017768144607544","0.05152697488665581","0.09372825920581818","0.0759701207280159","0.11762820184230804","0.48373618721961975","0.3261035084724426","0.6047570705413818","0.5644680380821228","0.5420701503753662","0.5830836892127991","0.5203857600688935","0.49346598982810974","0.5413544178009033"
"16","0.03623703084886074","0.024213748052716255","0.05239090695977211","0.09606719389557838","0.05423372983932495","0.1552596092224121","0.44324737787246704","0.41646233201026917","0.5007676482200623","0.5729238867759705","0.5513799786567688","0.5857874155044556","0.524843716621399","0.4965101480484009","0.5384104251861572"
"17","0.03929056748747826","0.031920600682497025","0.04942965880036354","0.10526944790035486","0.038656141608953476","0.17441371083259583","0.4141912281513214","0.35835835337638855","0.4959486722946167","0.5727989554405213","0.5606442093849182","0.5862993597984314","0.5396829962730407","0.5295538902282715","0.5457277894020081"
"18","0.034362831711769105","0.025580424815416336","0.04016491398215294","0.09839487820863724","0.059203632175922394","0.2044558972120285","0.4155038118362427","0.3023795783519745","0.6489288210868835","0.5569605112075806","0.5178142189979553","0.5739258527755737","0.5237779319286346","0.4911251962184906","0.5441721677780151"
"19","0.03427067585289478","0.024699876084923744","0.041440486907958984","0.08021966274827719","0.03478579223155975","0.14696486294269562","0.4823597013950348","0.3411860167980194","0.591934084892273","0.5660114526748657","0.5426397919654846","0.5829169750213623","0.5301549136638641","0.49930092692375183","0.5536175966262817"
