"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX"
"37","0.39012773633003234","0.3530450761318207","0.4513879120349884","0.04964715102687478","0.0271455068141222","0.07059352844953537","0.5764573216438293","0.5670397877693176","0.5872578024864197","0.7272833108901977","0.690214991569519","0.7768914699554443","0.5760872483253479","0.5607660412788391","0.588752806186676","0.3753991603851318","0.31440114974975586","0.42016729712486267"
"38","0.3852513015270233","0.3520421087741852","0.41431817412376404","0.061394660733640194","0.03747686743736267","0.0958029180765152","0.5785543084144592","0.562511682510376","0.589885413646698","0.7350081682205201","0.7099034190177917","0.7581446766853333","0.5717471718788147","0.5480884909629822","0.5823778510093689","0.3733513593673706","0.320631742477417","0.4678052067756653"
"39","0.4197551190853119","0.4009169936180115","0.44952884316444397","0.045752367936074734","0.02745037153363228","0.06006418913602829","0.579237949848175","0.5627833604812622","0.592380166053772","0.7303946018218994","0.6853214502334595","0.7814395427703857","0.5738972187042236","0.552666425704956","0.5920987129211426","0.3803156495094299","0.27247297763824463","0.4682106077671051"
"40","0.392370331287384","0.3411683440208435","0.43816307187080383","0.06132222432643175","0.03668602928519249","0.07963664084672928","0.5763369679450989","0.563498854637146","0.5923102498054504","0.7303017973899841","0.6912689805030823","0.7610098719596863","0.5714202642440795","0.5585172772407532","0.5803344249725342","0.3658882975578308","0.32608696818351746","0.40039703249931335"
"41","0.409052973985672","0.36746490001678467","0.4434424936771393","0.05856584245339036","0.020238468423485756","0.09393232315778732","0.5797128558158875","0.5722877383232117","0.5858823657035828","0.7340389609336853","0.6971417665481567","0.7686469554901123","0.5748876690864563","0.5661892294883728","0.5881369709968567","0.381658798456192","0.3300544023513794","0.4235760271549225"
"42","0.4072318971157074","0.38635459542274475","0.438506156206131","0.03708949405699968","0.01597759872674942","0.05457670986652374","0.5818903565406799","0.5633410215377808","0.5914247632026672","0.7225410103797912","0.663578450679779","0.7832733988761902","0.5740330934524536","0.5623611807823181","0.5907653570175171","0.3960093855857849","0.3670547902584076","0.41611185669898987"
"43","0.39720189571380615","0.3640073239803314","0.4264684021472931","0.055895768105983734","0.027056962251663208","0.08865558356046677","0.579602324962616","0.5764249563217163","0.5875279903411865","0.7451024055480957","0.6836062669754028","0.8257191181182861","0.571555209159851","0.5638427734375","0.5819549560546875","0.4074236214160919","0.3434332311153412","0.4502526521682739"
"44","0.4008671045303345","0.3716387450695038","0.42167773842811584","0.0401016166433692","0.02939356490969658","0.04476262256503105","0.5873421192169189","0.5798362493515015","0.5923264026641846","0.7474394887685776","0.7270183563232422","0.7917728424072266","0.5741817235946656","0.5562400221824646","0.5871151685714722","0.4068231642246246","0.3615694046020508","0.4324229061603546"
"45","0.4201208233833313","0.38935041427612305","0.4384565055370331","0.05770211014896631","0.03610323742032051","0.11905692517757416","0.583321464061737","0.5725295543670654","0.5900412797927856","0.7202721983194351","0.6732723712921143","0.7768275737762451","0.5736090302467346","0.5636870265007019","0.5889056324958801","0.4188888192176819","0.37853267788887024","0.4697526693344116"
"46","0.4414465010166168","0.4032033383846283","0.5030155181884766","0.03906356589868665","0.02546508051455021","0.05861664563417435","0.5815381884574891","0.5740202069282532","0.5871499180793762","0.7500660121440887","0.7349152565002441","0.7658536434173584","0.578283715248108","0.5644769072532654","0.5934125781059265","0.4023738741874695","0.37524327635765076","0.43005087971687317"
