"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"32","0.4967520833015442","0.48876795172691345","0.5101087689399719","0.5295118689537048","0.5209536552429199","0.537505567073822","0.332438188791275","0.31704825162887573","0.3457774519920349","0.4735959231853485","0.44454336166381836","0.5023210048675537","0.48247588872909547","0.455747127532959","0.5141916871070862","0.5115274071693421","0.5021478533744812","0.5214165449142456"
"33","0.5061086237430572","0.4972139894962311","0.5150997638702393","0.5315883755683899","0.5245980024337769","0.5401827692985535","0.34133060574531554","0.3163619637489319","0.3635226786136627","0.46881460547447207","0.45332854986190796","0.4816901385784149","0.479401957988739","0.4631061255931854","0.5102195143699646","0.5162887454032898","0.509578287601471","0.5269742012023926"
"34","0.5025696337223053","0.49419108033180237","0.5106818675994873","0.5340167641639709","0.5228207111358643","0.5433368682861328","0.3364379584789276","0.3266865313053131","0.3512994945049286","0.47011792063713076","0.466267853975296","0.4747408628463745","0.49753392934799195","0.4697423577308655","0.5303608179092407","0.508997130393982","0.5031245350837708","0.5150550007820129"
"35","0.5028272092342376","0.4920371472835541","0.5141197443008423","0.527268898487091","0.5120788812637329","0.5419415831565857","0.3415875554084778","0.3236751854419708","0.3523000180721283","0.47523813843727114","0.4675161838531494","0.4851163327693939","0.48683410286903384","0.45193034410476685","0.5119912624359131","0.5150692939758301","0.5005111694335938","0.5246900916099548"
"36","0.5008375346660614","0.48544254899024963","0.5099965929985046","0.5330823421478271","0.5224058032035828","0.5395773649215698","0.34909177422523496","0.33609795570373535","0.36334577202796936","0.47707783579826357","0.4610864520072937","0.4943278431892395","0.4915114164352417","0.4247787594795227","0.5344644784927368","0.5185919523239135","0.5114846229553223","0.5290066599845886"
"37","0.4975676298141479","0.483692467212677","0.5054271221160889","0.5370509266853333","0.5262665152549744","0.5497153997421265","0.3456725478172302","0.32977691292762756","0.3688904047012329","0.4843283176422119","0.46830984950065613","0.49376919865608215","0.4967273950576782","0.4261603355407715","0.5373470783233643","0.5165836095809937","0.4989202618598938","0.5255325436592102"
"38","0.5029530465602875","0.4906533658504486","0.5109195113182068","0.5341064810752869","0.5270130038261414","0.5379576683044434","0.34050285816192627","0.3333951532840729","0.34609636664390564","0.48489234447479246","0.47307226061820984","0.49314942955970764","0.4970078647136688","0.4721851348876953","0.5140939354896545","0.517405652999878","0.5042179226875305","0.5298117995262146"
"39","0.5034924447536469","0.49316561222076416","0.5153989791870117","0.537490713596344","0.5337058901786804","0.5403257608413696","0.3441768527030945","0.3371438980102539","0.3492863178253174","0.4774228870868683","0.45620524883270264","0.4941411316394806","0.49070348739624026","0.4312748908996582","0.5341545343399048","0.5245105743408203","0.5206995606422424","0.5329845547676086"
"40","0.4983247995376587","0.4858260750770569","0.5089374780654907","0.5382511258125305","0.5355376601219177","0.5436545014381409","0.35069788098335264","0.3436224162578583","0.364978551864624","0.48871665000915526","0.4737151265144348","0.4960675537586212","0.5012341678142548","0.46416574716567993","0.525516152381897","0.5189957976341247","0.5122442245483398","0.5267119407653809"
"41","0.5021668016910553","0.49606794118881226","0.5145625472068787","0.5362528562545776","0.5254710912704468","0.5436862111091614","0.35492045283317564","0.3448392450809479","0.36985597014427185","0.49024069905281065","0.47208794951438904","0.5041371583938599","0.5065002202987671","0.4921658933162689","0.5210577845573425","0.5195609331130981","0.5084963440895081","0.5332180261611938"
