"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"10","0.678880763053894","0.6547335386276245","0.7070791721343994","0.5495888471603394","0.5249380469322205","0.5943613648414612","0.9171837329864502","0.8963133692741394","0.9349315166473389","0.5051629424095154","0.48887622356414795","0.5321323275566101","0.4687475562095642","0.4275352656841278","0.49695611000061035","0.6133234977722168","0.5914404392242432","0.6407747268676758"
"11","0.6712258815765381","0.6565546989440918","0.6917002201080322","0.5319830238819122","0.47107169032096863","0.5696465373039246","0.909857988357544","0.9020665287971497","0.919388473033905","0.4822817385196686","0.45183253288269043","0.5150247812271118","0.9437301278114318","0.9174603223800659","0.9730639457702637","0.6141566753387451","0.5717095732688904","0.6602473258972168"
"12","0.6658034682273865","0.6498916149139404","0.6740896701812744","0.5852530241012573","0.5485231876373291","0.6127074360847473","0.91964031457901","0.9080390334129333","0.9330143332481384","0.4955887794494629","0.46599307656288147","0.5199249982833862","0.9362303733825683","0.9034690856933594","0.9616307020187378","0.610093629360199","0.5628581643104553","0.6281460523605347"
"13","0.670254921913147","0.6505376100540161","0.6949782967567444","0.5646948695182801","0.5225825309753418","0.5911769270896912","0.8996257185935974","0.8488159775733948","0.9382379651069641","0.5051729261875153","0.48880496621131897","0.5361407995223999","0.9314847350120544","0.8994082808494568","0.9591398239135742","0.6211744546890259","0.5765809416770935","0.6894211173057556"
"14","0.6682100415229797","0.6473832726478577","0.6856228113174438","0.5720067977905273","0.553311824798584","0.586468517780304","0.8743329048156738","0.7677338719367981","0.9206874370574951","0.4813196241855621","0.4525620937347412","0.5310148596763611","0.9223717212677002","0.8765903115272522","0.9445378184318542","0.6085675358772278","0.5799453258514404","0.660478949546814"
"15","0.6652509689331054","0.6526386737823486","0.6837657690048218","0.5887965798377991","0.5362967252731323","0.6387777328491211","0.8957674622535705","0.8814168572425842","0.9112645983695984","0.4742260634899139","0.44170525670051575","0.5034211277961731","0.9249522447586059","0.8988195657730103","0.9519833326339722","0.6068593502044678","0.5766813158988953","0.6298295855522156"
"16","0.6679048061370849","0.6546580195426941","0.6843551397323608","0.5888207435607911","0.5662218332290649","0.6136140823364258","0.8857271432876587","0.8786808252334595","0.8983818292617798","0.49988057017326354","0.45417022705078125","0.5408287644386292","0.9094167232513428","0.88722825050354","0.9262820482254028","0.6225308895111084","0.5838194489479065","0.6554213166236877"
"17","0.6585569739341736","0.642160177230835","0.6847843527793884","0.6070220470428467","0.566079318523407","0.625","0.8791328191757202","0.84895259141922","0.8989757895469666","0.5001426637172699","0.48421335220336914","0.5094536542892456","0.9147130131721497","0.8712273240089417","0.9460501074790955","0.589795732498169","0.5439847707748413","0.6091804504394531"
"18","0.6660736680030823","0.656591534614563","0.6830703020095825","0.6229699730873108","0.590258777141571","0.6511508226394653","0.8925284385681153","0.8789357542991638","0.9029626846313477","0.48554354906082153","0.45863407850265503","0.5171136856079102","0.9078204035758972","0.8838710188865662","0.9240986704826355","0.6141827344894409","0.5877098441123962","0.6478248238563538"
"19","0.6537341356277466","0.6405606865882874","0.6743086576461792","0.6086396813392639","0.5639301538467407","0.6442360877990723","0.88000009059906","0.8423256278038025","0.895977258682251","0.5090831995010376","0.4972906708717346","0.5174441337585449","0.8947852492332459","0.8543210029602051","0.9417989253997803","0.6149354696273803","0.6030545234680176","0.6254411339759827"
"20","0.6541757225990296","0.6407691240310669","0.6719022393226624","0.6338606476783752","0.601294755935669","0.6557531952857971","0.8768684387207031","0.8704581260681152","0.8804185390472412","0.515772020816803","0.5031872987747192","0.5354783535003662","0.8931653022766113","0.8556097745895386","0.9171717762947083","0.6189697980880737","0.5969947576522827","0.636591911315918"
"21","0.6652474999427795","0.649233341217041","0.6837725043296814","0.6112888097763062","0.5875579714775085","0.6319650411605835","0.8806491613388061","0.8746774792671204","0.8840090036392212","0.7690740108489991","0.7384916543960571","0.801369845867157","0.8832413673400878","0.8578391671180725","0.9079136848449707","0.6129315495491028","0.586345374584198","0.6622834205627441"
"22","0.6517561078071594","0.6368371844291687","0.6747539639472961","0.6156790852546692","0.588796854019165","0.6662819385528564","0.8784345507621765","0.8745188117027283","0.8858872652053833","0.741364848613739","0.6983771920204163","0.7965136766433716","0.887204623222351","0.8730385303497314","0.8963795304298401","0.6225728869438172","0.600432276725769","0.6457575559616089"
