"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"10","0.3812624990940094","0.3700000047683716","0.39281249046325684","0.377037501335144","0.32587501406669617","0.4034999907016754","0.07011250108480453","0.0416250005364418","0.09125000238418579","0.39026249647140504","0.3608124852180481","0.43825000524520874","0.4285875022411346","0.39012500643730164","0.46531251072883606","0.32587499618530275","0.27156248688697815","0.3721874952316284"
"11","0.3945749938488007","0.3842499852180481","0.4038124978542328","0.37422499656677244","0.3607499897480011","0.3895624876022339","0.08720000088214874","0.06956250220537186","0.10856249928474426","0.42613749504089354","0.4034999907016754","0.44749999046325684","0.028449999913573266","0.018562499433755875","0.039374999701976776","0.34990000128746035","0.3411250114440918","0.3634375035762787"
"12","0.4109750032424927","0.3929375112056732","0.42356249690055847","0.3449375033378601","0.3088749945163727","0.38231250643730164","0.085487499833107","0.06499999761581421","0.10262499749660492","0.41130000352859497","0.3999375104904175","0.42800000309944153","0.031949999555945394","0.0260624997317791","0.04143749922513962","0.3564999997615814","0.3490000069141388","0.3739374876022339"
"13","0.41298750042915344","0.4032500088214874","0.4233124852180481","0.3924500048160553","0.3641875088214874","0.43174999952316284","0.09809999912977219","0.06881249696016312","0.11893749982118607","0.42291249632835387","0.39774999022483826","0.4633750021457672","0.033112500607967374","0.02500000037252903","0.042249999940395355","0.34510000348091124","0.31312501430511475","0.3864375054836273"
"14","0.4314625024795532","0.4099375009536743","0.4645625054836273","0.38157500624656676","0.3580625057220459","0.4036875069141388","0.10057500004768372","0.09456250071525574","0.10531249642372131","0.4320749998092651","0.40525001287460327","0.44587498903274536","0.038100000470876694","0.026000000536441803","0.04912500083446503","0.372712504863739","0.33668750524520874","0.38893750309944153"
"15","0.44122499227523804","0.4215624928474426","0.46187499165534973","0.3891250014305115","0.343625009059906","0.43306249380111694","0.11603749990463257","0.10649999976158142","0.12675000727176666","0.44984999895095823","0.42931249737739563","0.4606249928474426","0.03658750057220459","0.027312500402331352","0.04618750140070915","0.3859375","0.35343751311302185","0.4169375002384186"
"16","0.437799996137619","0.42524999380111694","0.45406249165534973","0.404150003194809","0.3674375116825104","0.43556249141693115","0.11137499958276749","0.09656249731779099","0.12224999815225601","0.4238749980926514","0.4035624861717224","0.4621250033378601","0.037274999916553496","0.03150000050663948","0.04600000008940697","0.384612500667572","0.33643749356269836","0.40712499618530273"
"17","0.4496999979019165","0.3955624997615814","0.4675624966621399","0.39976249933242797","0.3804999887943268","0.4256249964237213","0.12853749990463256","0.11231250315904617","0.14412499964237213","0.42146250009536745","0.38100001215934753","0.4651874899864197","0.040437500551342966","0.028750000521540642","0.06212500110268593","0.3977500021457672","0.35993748903274536","0.43162500858306885"
"18","0.4567749917507172","0.43562498688697815","0.4730624854564667","0.37890000343322755","0.3372499942779541","0.41062501072883606","0.1332375019788742","0.1223125010728836","0.14556249976158142","0.44603750109672546","0.421812504529953","0.47093749046325684","0.03533749990165234","0.02187499962747097","0.04843749850988388","0.4000125050544739","0.37700000405311584","0.43674999475479126"
"19","0.4625250041484833","0.4361875057220459","0.4860000014305115","0.39252500534057616","0.3399375081062317","0.43700000643730164","0.1397374987602234","0.12831249833106995","0.1538124978542328","0.44328749775886533","0.4014374911785126","0.47831249237060547","0.04189999960362911","0.025062499567866325","0.05225000157952309","0.40481250286102294","0.37156251072883606","0.4296875"
"20","0.47709999680519105","0.46556249260902405","0.49300000071525574","0.36524999141693115","0.328249990940094","0.4129374921321869","0.1376124992966652","0.11249999701976776","0.16725000739097595","0.4402750015258789","0.40587499737739563","0.47312501072883606","0.044449999928474426","0.030937500298023224","0.06406249850988388","0.4111250042915344","0.398312509059906","0.421750009059906"
"21","0.46503750085830686","0.4506250023841858","0.49037501215934753","0.4175749957561493","0.40043750405311584","0.42774999141693115","0.16712500154972076","0.16237500309944153","0.17243750393390656","0.1822750002145767","0.15512500703334808","0.20643749833106995","0.05636249929666519","0.039374999701976776","0.07693749666213989","0.40012499690055847","0.3890624940395355","0.4092499911785126"
"22","0.484312504529953","0.4636875092983246","0.5047500133514404","0.40801250338554385","0.3790625035762787","0.445187509059906","0.15396249890327454","0.1341875046491623","0.1639374941587448","0.2073749989271164","0.1756875067949295","0.23649999499320984","0.05042499974370003","0.04062499850988388","0.07006250321865082","0.4096875011920929","0.3777500092983246","0.4337500035762787"
"23","0.47106250524520876","0.44699999690055847","0.4951249957084656","0.40241249203681945","0.3799999952316284","0.414249986410141","0.17012500166893005","0.1549375057220459","0.18125000596046448","0.25050000548362733","0.23231250047683716","0.27956250309944153","0.05768749937415123","0.034312501549720764","0.07800000160932541","0.4097624957561493","0.37718749046325684","0.43006250262260437"
"24","0.4944249987602234","0.46418750286102295","0.5210000276565552","0.4104625046253204","0.3578124940395355","0.45631250739097595","0.17832500040531157","0.15649999678134918","0.19562500715255737","0.2606250077486038","0.24693749845027924","0.28200000524520874","0.05157500058412552","0.038750000298023224","0.05831250175833702","0.4267124950885773","0.39387500286102295","0.4638749957084656"
"25","0.4853125035762787","0.4740000069141388","0.5016250014305115","0.4466749966144562","0.4049375057220459","0.4972499907016754","0.16299999952316285","0.1548124998807907","0.17743749916553497","0.2604625016450882","0.23368750512599945","0.29131248593330383","0.057612499594688414","0.037812501192092896","0.078125","0.41318750381469727","0.390562504529953","0.44306251406669617"
"26","0.4923875093460083","0.4792500138282776","0.5210000276565552","0.4114124894142151","0.3723124861717224","0.4359999895095825","0.17871249914169313","0.16599999368190765","0.20024999976158142","0.28114999532699586","0.2567499876022339","0.2965624928474426","0.0640625","0.04650000110268593","0.08749999850988388","0.42167500257492063","0.36768749356269836","0.4699375033378601"
"27","0.5075124979019165","0.49418750405311584","0.5329375267028809","0.4402499973773956","0.4128125011920929","0.46181249618530273","0.18665000200271606","0.17918750643730164","0.19187499582767487","0.30101250410079955","0.2773750126361847","0.33543750643730164","0.06286249980330468","0.037687499076128006","0.08243750035762787","0.4295250058174133","0.3945625126361847","0.4493125081062317"
"28","0.49829999804496766","0.48518750071525574","0.508187472820282","0.45487499237060547","0.4221875071525574","0.47343748807907104","0.18568750023841857","0.15000000596046448","0.2056874930858612","0.27964999675750735","0.2643750011920929","0.29493749141693115","0.07601250112056732","0.03824999928474426","0.09525000303983688","0.4282374978065491","0.40543749928474426","0.453312486410141"
"29","0.5078000068664551","0.4945625066757202","0.531000018119812","0.45450000166893006","0.4267500042915344","0.4674375057220459","0.19199999868869783","0.17475000023841858","0.20656250417232513","0.2988749921321869","0.2548125088214874","0.32912498712539673","0.0642000012099743","0.04181250184774399","0.09600000083446503","0.4384874999523163","0.4138124883174896","0.4714375138282776"
"30","0.5062374949455262","0.47437500953674316","0.5257499814033508","0.431974995136261","0.3879374861717224","0.46050000190734863","0.19523749649524688","0.18568749725818634","0.20399999618530273","0.2883125007152557","0.2543124854564667","0.3230000138282776","0.07036250084638596","0.04093749821186066","0.09181249886751175","0.44877499938011167","0.43543750047683716","0.4593749940395355"
"31","0.5106250047683716","0.4801250100135803","0.5447499752044678","0.44014999866485593","0.39943748712539673","0.46531251072883606","0.20032500326633454","0.17387500405311584","0.22162500023841858","0.2930500090122223","0.23881250619888306","0.3485625088214874","0.06996249929070472","0.056062500923871994","0.08106250315904617","0.4247499942779541","0.4115000069141388","0.4515624940395355"
"32","0.5073375105857849","0.5006250143051147","0.5179374814033508","0.4687375009059906","0.44581249356269836","0.49137499928474426","0.2134750008583069","0.19093750417232513","0.22956250607967377","0.31074999570846557","0.27293750643730164","0.34843748807907104","0.06553749963641167","0.05400000140070915","0.07381249964237213","0.4416499972343445","0.42012500762939453","0.4781250059604645"
"33","0.528362512588501","0.5148125290870667","0.5451250076293945","0.468025004863739","0.4360625147819519","0.4906249940395355","0.20916249752044677","0.18462499976158142","0.22287499904632568","0.3001749932765961","0.27268749475479126","0.3334999978542328","0.08180000036954879","0.07050000131130219","0.09549999982118607","0.44006250500679017","0.4110625088214874","0.46018749475479126"
"34","0.5241500020027161","0.504812479019165","0.5525624752044678","0.4827750027179718","0.4423750042915344","0.5133749842643738","0.21948750019073487","0.19331249594688416","0.23243750631809235","0.31231250166893004","0.3008750081062317","0.3257499933242798","0.07393750101327896","0.05531249940395355","0.10006249696016312","0.43603749871253966","0.41743749380111694","0.44712498784065247"
"35","0.524762487411499","0.5143125057220459","0.5376874804496765","0.4502499997615814","0.3774375021457672","0.5163750052452087","0.21888750195503234","0.20731249451637268","0.2238125056028366","0.31301249861717223","0.30274999141693115","0.3228124976158142","0.07557500153779984","0.045249998569488525","0.08693750202655792","0.4416249990463257","0.42750000953674316","0.45518749952316284"
"36","0.5158249974250794","0.4970625042915344","0.5422499775886536","0.47488750219345094","0.42631250619888306","0.5038750171661377","0.2165125012397766","0.20212499797344208","0.2290000021457672","0.30964999794960024","0.257937490940094","0.3343124985694885","0.08339999988675117","0.05687500163912773","0.10787499696016312","0.4526874959468842","0.4359999895095825","0.47443750500679016"
"37","0.5130250036716462","0.4956875145435333","0.5361875295639038","0.49116250276565554","0.4386250078678131","0.5488125085830688","0.22618750035762786","0.21593749523162842","0.2396250069141388","0.3471625030040741","0.2925625145435333","0.3706875145435333","0.0848750002682209","0.05781250074505806","0.11906249821186066","0.45677500367164614","0.39156249165534973","0.49418750405311584"
"38","0.52535001039505","0.5136874914169312","0.5367500185966492","0.48762500286102295","0.4675624966621399","0.5158125162124634","0.22319999933242798","0.20881250500679016","0.2395624965429306","0.3387749969959259","0.3268750011920929","0.3540624976158142","0.08006249815225601","0.059812501072883606","0.11312499642372131","0.45822499990463256","0.4334374964237213","0.48399999737739563"
"39","0.5198624968528748","0.5074999928474426","0.5256875157356262","0.4921124935150146","0.4296875","0.5269374847412109","0.2321624994277954","0.22243750095367432","0.2421875","0.328962504863739","0.2848125100135803","0.3643749952316284","0.08091249912977219","0.03568749874830246","0.1015625","0.46512500047683714","0.43849998712539673","0.48537498712539673"
"40","0.5193625092506409","0.5010625123977661","0.538812518119812","0.48277500867843626","0.4534375071525574","0.5171250104904175","0.23722499907016753","0.22837500274181366","0.2511875033378601","0.35397499799728394","0.335999995470047","0.3804374933242798","0.08362500071525573","0.059812501072883606","0.10537499934434891","0.4699125051498413","0.4543749988079071","0.4869374930858612"
"41","0.5175374984741211","0.5006250143051147","0.5391250252723694","0.49832499623298643","0.45643749833106995","0.5307499766349792","0.23982499539852142","0.22968749701976776","0.25174999237060547","0.3479875087738037","0.3374375104904175","0.3633125126361847","0.09153750091791153","0.06887499988079071","0.1001875028014183","0.4506375014781952","0.4258125126361847","0.4891875088214874"
"42","0.5259999990463257","0.5065624713897705","0.5607500076293945","0.5061500012874603","0.49274998903274536","0.5224999785423279","0.23224999904632568","0.218812495470047","0.25868749618530273","0.35537499785423277","0.33131250739097595","0.3736250102519989","0.08745000064373017","0.07368750125169754","0.10387499630451202","0.47048749327659606","0.4516249895095825","0.4935624897480011"
"43","0.5244249939918518","0.5128124952316284","0.539187490940094","0.5157624900341033","0.4807499945163727","0.546875","0.24383749961853027","0.22875000536441803","0.2591874897480011","0.3348375022411346","0.3148125112056732","0.3531250059604645","0.09201249927282333","0.07731249928474426","0.10724999755620956","0.4735249996185303","0.45506250858306885","0.49393749237060547"
"44","0.5339624881744385","0.5129374861717224","0.559499979019165","0.5196375012397766","0.4751250147819519","0.573312520980835","0.24478750228881835","0.23806250095367432","0.26237499713897705","0.35761249661445615","0.312312513589859","0.3918749988079071","0.0918874979019165","0.08043749630451202","0.09881249815225601","0.47918749451637266","0.4569999873638153","0.49662500619888306"
"45","0.5362124919891358","0.5206249952316284","0.5558124780654907","0.5309875011444092","0.5129374861717224","0.5628125071525574","0.24588750004768373","0.22837500274181366","0.25343748927116394","0.341525000333786","0.26381251215934753","0.3841874897480011","0.08651249930262565","0.05937499925494194","0.09974999725818634","0.4827124893665314","0.45881250500679016","0.5059999823570251"
