Step,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX
23,0.410785365,0.405956596,0.416036308,0.307850087,0.29342857,0.317246437,0.44568603,0.441365808,0.448679924,0.407479316,0.362941176,0.440822124,0.476553333,0.427672952,0.50432682
24,0.413684428,0.406996906,0.421300948,0.304267746,0.286697239,0.319335073,0.451107508,0.432164401,0.472650766,0.438962301,0.414204895,0.452147245,0.475565612,0.446117818,0.496257305
25,0.411183876,0.400740802,0.420385331,0.315644002,0.289481312,0.336885899,0.44967075,0.437616885,0.465726733,0.409395918,0.3601695,0.441485643,0.480166233,0.450557411,0.494826436
26,0.411687183,0.397953808,0.41976276,0.313469821,0.295664877,0.335876048,0.457028323,0.436565638,0.470185071,0.442120254,0.410273969,0.472752035,0.481080306,0.462130934,0.506520271
27,0.407089657,0.396516293,0.417657554,0.313173747,0.301627308,0.318767905,0.470823586,0.449652791,0.488025963,0.443777311,0.405529946,0.473663211,0.495616388,0.462053567,0.520368278
28,0.403574228,0.390549272,0.412232488,0.31523996,0.276582867,0.333625615,0.460057628,0.44349429,0.472088605,0.455655009,0.413793117,0.487854242,0.487707973,0.466384232,0.507900178
29,0.40421446,0.394659996,0.416805893,0.325566691,0.306985289,0.337395757,0.465078795,0.450835139,0.479268551,0.447242123,0.407964587,0.515965879,0.493055975,0.476244152,0.512491286
30,0.409982562,0.396629333,0.423736662,0.319582736,0.308400184,0.330892146,0.459589928,0.438216209,0.487454116,0.452650239,0.44607842,0.462269127,0.478661317,0.438076615,0.50256902
31,0.409048933,0.403000772,0.41598022,0.328502733,0.31940046,0.33679381,0.467163509,0.441292584,0.500537515,0.477127142,0.449181944,0.506605923,0.490657091,0.467466325,0.503709793
32,0.406872302,0.391394496,0.421340495,0.323624349,0.308672935,0.332817346,0.47350691,0.444543362,0.501833141,0.482455611,0.455434144,0.514403284,0.479944795,0.465956628,0.516801178
33,0.410074997,0.399959952,0.417008579,0.331020713,0.307910949,0.354242861,0.468776208,0.45332855,0.481690139,0.482765332,0.463106126,0.510219514,0.48058331,0.451417327,0.50855124
34,0.408306271,0.394827753,0.416313976,0.32792688,0.31935668,0.344198406,0.470106095,0.466208726,0.474740863,0.499806394,0.469742358,0.530360818,0.484642535,0.469385207,0.503168404
35,0.409216124,0.395142108,0.420441359,0.332092857,0.314716846,0.342226684,0.475150365,0.467516184,0.484854639,0.506182164,0.50018692,0.512177408,0.462737757,0.410626829,0.489185125
36,0.412756103,0.405672371,0.421100169,0.338046265,0.327154398,0.353607297,0.47708773,0.461086452,0.494327843,0.487810895,0.424778759,0.534677982,0.495530683,0.46805498,0.507820785
37,0.411147141,0.400078416,0.420224518,0.33470341,0.320152551,0.356395245,0.484242958,0.46830985,0.493583173,0.514401972,0.502427161,0.537347078,0.484076691,0.463976949,0.505665004
38,0.409283841,0.397364765,0.424465656,0.330043244,0.323846161,0.340033501,0.484900367,0.473072261,0.493191302,0.493692905,0.493692905,0.493692905,0.483727056,0.448702097,0.516631663
39,0.410465169,0.397745878,0.421010911,0.331799895,0.326461762,0.336432219,0.477322668,0.456205249,0.494052261,0.5,0.5,0.5,0.507638025,0.490821242,0.527550697
40,0.410936111,0.3994326,0.423436254,0.340739149,0.332090199,0.353380769,0.488551342,0.47361207,0.495897889,0.501383707,0.496114761,0.506652653,0.495403934,0.433843881,0.522360802
41,0.412393522,0.400441408,0.424094111,0.342838937,0.330914885,0.362211645,0.490256554,0.472132713,0.504223168,0.511134952,0.495418638,0.52074486,0.484915304,0.467726052,0.525870383
42,0.413316828,0.399428576,0.427541137,0.336669201,0.331104308,0.342125088,0.493752873,0.490139484,0.500727534,0.519213304,0.503139019,0.532522619,0.504026902,0.483331054,0.519287288
43,0.414225364,0.399600804,0.426447153,0.337736708,0.330362111,0.343551606,0.478718621,0.472307831,0.484192848,0.500592239,0.476624399,0.542040825,0.485428518,0.461938947,0.503406346
44,0.417187959,0.408313662,0.425845772,0.341041166,0.328313261,0.358286977,0.491079569,0.469983041,0.503826082,0.520557493,0.503168583,0.537946403,0.493966979,0.468183935,0.520269573
45,0.412304419,0.404519677,0.422590971,0.341178036,0.332241386,0.354138851,0.479892051,0.435619742,0.496517241,0.522476144,0.495726496,0.562648475,0.502460647,0.484060735,0.54142797
46,0.416746658,0.40534842,0.425742567,0.342540056,0.333496958,0.351079851,0.492691296,0.4730753,0.50688839,0.524015824,0.500145197,0.548802972,0.496057266,0.47355929,0.518929183
47,0.417612982,0.404780716,0.426506221,0.339342088,0.321652263,0.3481628,0.48945694,0.471857131,0.502088845,0.517406404,0.515785635,0.519027174,0.498132938,0.469099581,0.520015001
48,0.413834989,0.401885331,0.423645318,0.342310834,0.331399441,0.35596773,0.493672514,0.469379544,0.515951693,0.528630108,0.495778054,0.551650703,0.494073862,0.465257943,0.50838697
49,0.414592648,0.397025824,0.428736657,0.343266797,0.337700635,0.350485891,0.502916121,0.491747499,0.508463502,0.53495127,0.523996651,0.549447536,0.494948214,0.470199496,0.52352196
50,0.413318026,0.39587608,0.42517978,0.344152635,0.333557963,0.348326683,0.496070117,0.481008828,0.507021666,0.533837895,0.505902171,0.552631557,0.498823833,0.468787283,0.517421365
51,0.412284607,0.391719103,0.432643741,0.34519524,0.328660697,0.359302312,0.501179856,0.495279104,0.507101834,0.511233151,0.511233151,0.511233151,0.512065566,0.491960466,0.533147871
52,0.415054601,0.403248519,0.424405754,0.343196291,0.330323189,0.352503479,0.497309816,0.489643991,0.508649051,0.511525154,0.502689958,0.520360351,0.508065361,0.47846964,0.528413057
53,0.415087622,0.402573854,0.425675094,0.342614508,0.328414559,0.353212416,0.496093136,0.488274485,0.506585121,0.546972871,0.546972871,0.546972871,0.506476098,0.48557201,0.516603589
54,0.417134726,0.407709956,0.424632668,0.344544995,0.334059775,0.356272846,0.497879845,0.485089809,0.513033807,0.534484088,0.50355798,0.565410197,0.505176795,0.489031076,0.514869332
55,0.415072381,0.402946532,0.427138746,0.347979814,0.340495318,0.354529202,0.50241431,0.488412559,0.510024667,0.520270745,0.476408601,0.552339196,0.509498429,0.491149902,0.529022813
56,0.419395971,0.411529779,0.430337667,0.346038359,0.338054299,0.35322988,0.499460739,0.49673605,0.501838386,0.520270745,0.476408601,0.552339196,0.50543943,0.492259741,0.533828437
57,0.418588293,0.402911276,0.431099564,0.350987762,0.339770973,0.361730784,0.497100681,0.484763354,0.514949679,0.514122903,0.514122903,0.514122903,0.508035725,0.476052016,0.530422628
58,0.417926151,0.409395963,0.42996493,0.346220201,0.337645948,0.364528984,0.502078092,0.498863459,0.504112422,0.547716916,0.529818833,0.565614998,0.52062307,0.496497482,0.554281771
59,0.415038931,0.404317945,0.429255247,0.352301359,0.341917902,0.356942594,0.498697245,0.484409004,0.507261992,0.545894325,0.537627339,0.55416131,0.517972356,0.490804583,0.533638954
60,0.421980458,0.410672456,0.432706833,0.350099045,0.339531243,0.359540641,0.502919382,0.492786378,0.507306576,0.557348073,0.557348073,0.557348073,0.509169275,0.485503286,0.526373386
61,0.419276792,0.40686813,0.433128625,0.348348576,0.337543041,0.361827046,0.507664883,0.502169847,0.517997622,0.507286608,0.507286608,0.507286608,0.497151935,0.450109243,0.524231732
62,0.417979544,0.401069015,0.43312636,0.353098899,0.337773561,0.373339385,0.502245712,0.491464436,0.510275245,0.525715828,0.501330972,0.544864893,0.512159085,0.500185788,0.526606262
63,0.418390548,0.40024218,0.432346135,0.352791202,0.3463085,0.359671772,0.50090785,0.490612864,0.514548004,0.52005887,0.52005887,0.52005887,0.512659246,0.4887999,0.527940035
64,0.417393839,0.401896983,0.432705998,0.352195936,0.342338413,0.364545584,0.503817159,0.470533103,0.52343154,0.568343699,0.568343699,0.568343699,0.520988882,0.515946805,0.534052193
65,0.417760557,0.408136845,0.425951451,0.351641548,0.343070239,0.367198646,0.50615232,0.490050435,0.516395867,0.531824112,0.509871542,0.553776681,0.506892717,0.490052342,0.530118048
66,0.421799153,0.405090421,0.434731305,0.353632689,0.346204668,0.36213395,0.509924054,0.503671646,0.514857352,0.531340361,0.522572815,0.546616077,0.525654531,0.506504178,0.539376915
67,0.418439054,0.405571133,0.4304896,0.353303444,0.338563412,0.363410592,0.509886903,0.497437209,0.51836282,0.536711752,0.536711752,0.536711752,0.507729691,0.472617358,0.523779571
68,0.41780687,0.401063412,0.431689262,0.356682074,0.347588181,0.375185847,0.510717881,0.504106641,0.515384018,0.564504862,0.564504862,0.564504862,0.509868437,0.499573559,0.521885872
69,0.416664177,0.404261261,0.42706731,0.35193013,0.344769418,0.364027768,0.514343858,0.507117867,0.518676698,0.564504862,0.564504862,0.564504862,0.522211581,0.499093741,0.534879506
70,0.420108646,0.408387929,0.431317568,0.35495882,0.342503816,0.36552453,0.507129216,0.497066975,0.519074619,0.564504862,0.564504862,0.564504862,0.518363887,0.49718979,0.54783833
71,0.417442077,0.400641948,0.429316282,0.353969848,0.343982965,0.365988642,0.509086168,0.482559681,0.520817935,0.572015226,0.572015226,0.572015226,0.510853952,0.48780489,0.535202265
72,0.422620308,0.409708738,0.434203088,0.354607433,0.348851174,0.358177483,0.508937049,0.503154218,0.51383543,0.574085832,0.574085832,0.574085832,0.525257218,0.516835809,0.534202218
