"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"10","0.8084108352661132","0.7906976938247681","0.831941545009613","0.9302576184272766","0.9269350171089172","0.9345238208770752","0.743170416355133","0.709684431552887","0.7754510641098022","0.6379658818244934","0.6082830429077148","0.6715312004089355","0.6565882205963135","0.6103225946426392","0.6894760727882385","0.791266655921936","0.7671703100204468","0.828382134437561"
"11","0.818708884716034","0.7912675142288208","0.8343621492385864","0.93076251745224","0.9110672473907471","0.9408451318740845","0.7626551866531373","0.7447280883789062","0.7938376665115356","0.9594632387161255","0.9361147284507751","0.9781341552734375","0.6535244941711426","0.6218093037605286","0.6762198209762573","0.7814087867736816","0.7672268748283386","0.7987338900566101"
"12","0.8060759544372559","0.7885944843292236","0.8217115998268127","0.9193852305412292","0.9089047908782959","0.9389416575431824","0.7484634757041931","0.725098729133606","0.7792671918869019","0.9438700318336487","0.9035087823867798","0.9634340405464172","0.6397516131401062","0.5937241911888123","0.6687077879905701","0.7888665437698364","0.769246518611908","0.8042561411857605"
"13","0.8091202139854431","0.7931428551673889","0.822840690612793","0.9230357766151428","0.9179873466491699","0.9269146919250488","0.7646335959434509","0.7446173429489136","0.7786419987678528","0.9352881193161011","0.8861788511276245","0.9642857313156128","0.6466010928153991","0.6239277720451355","0.7143169641494751","0.7900018215179443","0.7730451226234436","0.8112505078315735"
"14","0.8093902230262756","0.7970534563064575","0.8194548487663269","0.9299920916557312","0.9214743971824646","0.9392148852348328","0.7506260871887207","0.6933906078338623","0.7819761633872986","0.9120556712150574","0.8760233521461487","0.9348034858703613","0.6700719594955444","0.6277341246604919","0.6938559412956238","0.7868676066398621","0.759661853313446","0.7971439957618713"
"15","0.8084888935089112","0.7994301915168762","0.8294128775596619","0.9318985939025879","0.92578125","0.9351522326469421","0.7638865232467651","0.7528089880943298","0.783553421497345","0.9039481163024903","0.8357324004173279","0.9293193817138672","0.622362220287323","0.5759668350219727","0.666007936000824","0.78648282289505","0.7651059031486511","0.8129019737243652"
"16","0.8114488124847412","0.7956025004386902","0.8248024582862854","0.9298304796218873","0.9150943756103516","0.9483546614646912","0.7817559957504272","0.7685641050338745","0.799331784248352","0.8953457832336426","0.8572518825531006","0.9167842268943787","0.6784506916999817","0.647861123085022","0.7286949157714844","0.7928893566131592","0.7805734276771545","0.8047397136688232"
"17","0.8102879285812378","0.7977567315101624","0.8208733797073364","0.926314401626587","0.9231053590774536","0.9313725829124451","0.7717493772506714","0.7338709831237793","0.790332555770874","0.8810995101928711","0.844208836555481","0.9200541973114014","0.6592453002929688","0.587324857711792","0.6964956521987915","0.7925484418869019","0.7843793034553528","0.8004652857780457"
"18","0.8028519630432129","0.7920345664024353","0.8180163502693176","0.9261298060417176","0.9203783869743347","0.9347826242446899","0.7805489063262939","0.7650928497314453","0.7884944081306458","0.8627909302711487","0.8292856812477112","0.887005627155304","0.6667904615402221","0.6152439117431641","0.6980810165405273","0.7984484076499939","0.7817248702049255","0.8130508065223694"
"19","0.8025047421455384","0.7974776029586792","0.8131848573684692","0.9262310624122619","0.9179748892784119","0.9348009824752808","0.7775415301322937","0.7631878852844238","0.7944511771202087","0.8703397989273072","0.8044148087501526","0.9083969593048096","0.635149335861206","0.5823096036911011","0.6711437106132507","0.795992088317871","0.7776554822921753","0.8202876448631287"
