"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"11","0.4046026051044464","0.38280707597732544","0.4211842119693756","0.36830961108207705","0.32148319482803345","0.39782097935676575","0.47300570011138915","0.42324888706207275","0.5510976314544678","0.53616361618042","0.5310451984405518","0.5412216782569885","0.5433968544006348","0.5004266500473022","0.5709825754165649"
"12","0.4051947772502899","0.39665487408638","0.4141334295272827","0.37094503045082095","0.3403278589248657","0.4054259657859802","0.5236206948757172","0.44462278485298157","0.6450477838516235","0.543252456188202","0.5306479930877686","0.5557593703269958","0.53434317111969","0.5166495442390442","0.555594265460968"
"13","0.4088478982448578","0.3977169394493103","0.4273183047771454","0.37036962509155275","0.31794071197509766","0.41311055421829224","0.5948868155479431","0.5562599301338196","0.6308829188346863","0.5367504835128785","0.5216754078865051","0.5433480739593506","0.5373611569404602","0.5164892673492432","0.555001437664032"
"14","0.40413324236869813","0.3917330801486969","0.41988110542297363","0.39473934173583985","0.3356401324272156","0.43834272027015686","0.6069056034088135","0.5314465165138245","0.670828104019165","0.5353402733802796","0.5197696089744568","0.5468193888664246","0.5395552039146423","0.5164397358894348","0.5525937676429749"
"15","0.4051053702831268","0.3894861042499542","0.41859862208366394","0.38700020909309385","0.36143675446510315","0.41001808643341064","0.606033730506897","0.5599800944328308","0.6450980305671692","0.5447263479232788","0.5238394141197205","0.5682767033576965","0.5361316561698913","0.5119938850402832","0.5481700897216797"
"16","0.40190978050231935","0.3903736472129822","0.4105902910232544","0.38475579023361206","0.353658527135849","0.4188055396080017","0.6125420928001404","0.5915021896362305","0.6518205404281616","0.5324627518653869","0.5191051363945007","0.5417179465293884","0.5466429471969605","0.5192805528640747","0.5736396908760071"
"17","0.40182546377182005","0.3951434791088104","0.4070916771888733","0.3844945549964905","0.3596118986606598","0.43112513422966003","0.6615041375160218","0.6362612843513489","0.6943496465682983","0.5349323272705078","0.5255581736564636","0.5493023991584778","0.5390900135040283","0.5280786156654358","0.5472809076309204"
"18","0.39901742339134216","0.3871791660785675","0.41811174154281616","0.3938493490219116","0.3588577210903168","0.4329896867275238","0.6419705271720886","0.6135371327400208","0.6736596822738647","0.5340655207633972","0.5226948857307434","0.548499584197998","0.5531689047813415","0.5256425142288208","0.591613233089447"
"19","0.40330490469932556","0.3940911293029785","0.42138734459877014","0.39569756388664246","0.34950217604637146","0.4422668218612671","0.6384220361709595","0.6033028960227966","0.6630190014839172","0.5444419980049133","0.5380710363388062","0.5575187802314758","0.5422920823097229","0.5369687080383301","0.5630038380622864"
"20","0.40611469745635986","0.4001914858818054","0.4183697998523712","0.3863226890563965","0.36525973677635193","0.4128440320491791","0.643701696395874","0.6318289637565613","0.6577391028404236","0.5284683704376221","0.516781210899353","0.5387964248657227","0.5507330656051636","0.530937910079956","0.5632777810096741"
"21","0.4040588974952698","0.3968408405780792","0.417166143655777","0.40804908275604246","0.3713846802711487","0.4595950245857239","0.6494945049285888","0.6186417937278748","0.6722878217697144","0.42689497470855714","0.3984413146972656","0.4455205798149109","0.5514690279960632","0.5352641344070435","0.5632445216178894"
"22","0.4080813407897949","0.3965204656124115","0.41959768533706665","0.39402700662612916","0.374033659696579","0.43213003873825073","0.6344672441482544","0.6073954701423645","0.6664915680885315","0.4308357000350952","0.395384281873703","0.46445992588996887","0.5443091511726379","0.5356402397155762","0.5511810779571533"
"23","0.40045708417892456","0.3889645040035248","0.4127219021320343","0.39727468490600587","0.3656845688819885","0.429283082485199","0.6484087347984314","0.5932203531265259","0.7020235657691956","0.4344176709651947","0.4078414738178253","0.4493815004825592","0.5500492811203003","0.5347065329551697","0.562837541103363"
"24","0.40384650230407715","0.39283987879753113","0.4103339910507202","0.3983767628669739","0.35955554246902466","0.42983192205429077","0.6569642901420594","0.6365774869918823","0.692014217376709","0.44427751898765566","0.4201960563659668","0.46230757236480713","0.5513909578323364","0.5436169505119324","0.5651824474334717"
"25","0.40142632722854615","0.38731279969215393","0.41191184520721436","0.40772687196731566","0.3916349709033966","0.43411168456077576","0.645973515510559","0.6113594770431519","0.6707785129547119","0.4428954780101776","0.42000702023506165","0.4587382376194","0.5621925711631774","0.542559802532196","0.5877719521522522"
"26","0.39994692206382754","0.3790251910686493","0.41333332657814026","0.3995222866535187","0.37184828519821167","0.42036858201026917","0.6590582132339478","0.634017825126648","0.6851005554199219","0.4457887291908264","0.4196687638759613","0.4661254584789276","0.566889488697052","0.556393027305603","0.5859125852584839"
"27","0.4031961500644684","0.39585080742836","0.4089903235435486","0.4000424563884735","0.3924653232097626","0.40506330132484436","0.6468239784240722","0.616365909576416","0.6742345094680786","0.4615218758583069","0.4492169916629791","0.4731082320213318","0.5595104336738587","0.538780927658081","0.5787927508354187"
"28","0.4047374963760376","0.39234164357185364","0.4135285019874573","0.4071726739406586","0.39640527963638306","0.4160892963409424","0.6513288021087646","0.6296119093894958","0.686154842376709","0.4494757831096649","0.4336068034172058","0.47447195649147034","0.5592909216880798","0.5458642244338989","0.5864426493644714"
"29","0.40379367470741273","0.38722214102745056","0.4212466776371002","0.4159371018409729","0.40534475445747375","0.4382422864437103","0.6429685950279236","0.614165186882019","0.6717687249183655","0.45189532041549685","0.43679893016815186","0.4669509530067444","0.5586641907691956","0.5442706346511841","0.5821657180786133"
"30","0.40280577540397644","0.3935752511024475","0.4120141267776489","0.39994034767150877","0.3787948489189148","0.4161882996559143","0.64100022315979","0.6139577627182007","0.6775481700897217","0.4549287497997284","0.4438101053237915","0.46788740158081055","0.5632411479949951","0.5458351969718933","0.5862768292427063"
"31","0.40553335547447206","0.39121684432029724","0.41450655460357666","0.4092149078845978","0.3942672610282898","0.4291774332523346","0.6485369682312012","0.6059509515762329","0.698573112487793","0.46915567517280576","0.4528834819793701","0.4846390187740326","0.5619428396224976","0.5551611185073853","0.576819896697998"
"32","0.40388756394386294","0.39125823974609375","0.4173591732978821","0.39359042048454285","0.37187498807907104","0.4086633026599884","0.6391085833311081","0.6262446045875549","0.6723741888999939","0.46140279769897463","0.4564480483531952","0.4722042381763458","0.5632588624954223","0.5530022978782654","0.5861182808876038"
"33","0.4099582314491272","0.3904873728752136","0.42541933059692383","0.3968134880065918","0.3913043439388275","0.4033891558647156","0.6504178166389465","0.6223278045654297","0.681715190410614","0.4697244346141815","0.4528626799583435","0.4868987500667572","0.5722190260887146","0.5629090666770935","0.5899288058280945"
