"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"11","0.6279250025749207","0.6075000166893005","0.6784999966621399","0.24094999730587005","0.21875","0.25562500953674316","0.5452499985694885","0.49900001287460327","0.5708749890327454","0.087950000166893","0.07412499934434891","0.09700000286102295","0.5837499976158143","0.5277500152587891","0.6121249794960022","0.5939249992370605","0.5678750276565552","0.6202499866485596"
"12","0.6482499957084655","0.6309999823570251","0.6596249938011169","0.2659250020980835","0.24424999952316284","0.2931250035762787","0.5837500095367432","0.559499979019165","0.6197500228881836","0.09144999980926513","0.07562500238418579","0.12825000286102295","0.5923749923706054","0.578374981880188","0.6054999828338623","0.615024983882904","0.6028749942779541","0.6311249732971191"
"13","0.6535249948501587","0.6384999752044678","0.6614999771118164","0.280950003862381","0.24500000476837158","0.3154999911785126","0.5869499921798706","0.5652499794960022","0.6013749837875366","0.09802500009536744","0.07000000029802322","0.13837499916553497","0.5667999982833862","0.5516250133514404","0.581375002861023","0.6119249939918519","0.5898749828338623","0.6377500295639038"
"14","0.659499990940094","0.6346250176429749","0.6787499785423279","0.29262499809265136","0.27387499809265137","0.31200000643730164","0.5833750009536743","0.5238749980926514","0.6186249852180481","0.1150749996304512","0.0988750010728836","0.1303749978542328","0.5963750004768371","0.5745000243186951","0.6148750185966492","0.617425000667572","0.5851250290870667","0.6389999985694885"
"15","0.6669000029563904","0.6536250114440918","0.6887500286102295","0.3011000037193298","0.27549999952316284","0.3199999928474426","0.6006749868392944","0.5841249823570251","0.6257500052452087","0.10694999992847443","0.09049999713897705","0.14762499928474426","0.6131499886512757","0.5692499876022339","0.643875002861023","0.6326249837875366","0.5848749876022339","0.6607499718666077"
"16","0.6773750066757203","0.6611250042915344","0.7106249928474426","0.2918500006198883","0.273499995470047","0.3083750009536743","0.6074000120162963","0.5722500085830688","0.6346250176429749","0.1313999965786934","0.0886249989271164","0.16374999284744263","0.5954000115394592","0.5641250014305115","0.6072499752044678","0.6314749836921691","0.5964999794960022","0.6587499976158142"
"17","0.682224977016449","0.6656249761581421","0.7132499814033508","0.31049999594688416","0.2639999985694885","0.33812499046325684","0.6209500074386597","0.5877500176429749","0.6502500176429749","0.11794999986886978","0.0807500034570694","0.1627500057220459","0.6050999999046326","0.5976250171661377","0.6237499713897705","0.6500750064849854","0.6305000185966492","0.6984999775886536"
"18","0.6953249931335449","0.6868749856948853","0.7046250104904175","0.32134999632835387","0.3162499964237213","0.33012500405311584","0.6373500227928162","0.5975000262260437","0.6583750247955322","0.1543250009417534","0.0885000005364418","0.22712500393390656","0.6241999983787536","0.5862500071525574","0.6442499756813049","0.6517500042915344","0.6333749890327454","0.6666250228881836"
"19","0.6976500034332276","0.6838750243186951","0.7128750085830688","0.31322500109672546","0.2952499985694885","0.3251250088214874","0.6529749989509582","0.6172500252723694","0.6766250133514404","0.1604999989271164","0.13087500631809235","0.2434999942779541","0.6234499931335449","0.5885000228881836","0.6523749828338623","0.6680750012397766","0.6343749761581421","0.6852499842643738"
"20","0.6994749903678894","0.6779999732971191","0.721875011920929","0.31320000290870664","0.2720000147819519","0.3449999988079071","0.6730749845504761","0.6598749756813049","0.6794999837875366","0.14825000166893004","0.10112500190734863","0.2004999965429306","0.6035250067710877","0.5874999761581421","0.6366249918937683","0.6761749982833862","0.6330000162124634","0.7088750004768372"
