"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"10","0.49263364672660825","0.4799695909023285","0.5055620670318604","0.34752597808837893","0.29414334893226624","0.38383838534355164","0.5213477373123169","0.5032094120979309","0.5343065857887268","0.5422577142715455","0.534246563911438","0.5509927272796631","0.5325276494026184","0.5196875929832458","0.5426379442214966","0.520440649986267","0.514802098274231","0.531086266040802"
"11","0.4827559530735016","0.4690387547016144","0.4949758052825928","0.36834856271743777","0.32148319482803345","0.39782097935676575","0.5150586247444153","0.503049910068512","0.5291597247123718","0.47316133975982666","0.4226190447807312","0.5510976314544678","0.53616361618042","0.5310451984405518","0.5412216782569885","0.5252878189086914","0.5080671310424805","0.5388904213905334"
"12","0.49175955057144166","0.47422143816947937","0.5005275011062622","0.37094503045082095","0.3403278589248657","0.4054259657859802","0.5213403344154358","0.5095332264900208","0.5340814590454102","0.5249070823192596","0.44462278485298157","0.6499752402305603","0.543252456188202","0.5306479930877686","0.5557593703269958","0.5275137424468994","0.5266640782356262","0.5282668471336365"
"13","0.4915224313735962","0.4805065393447876","0.5007132887840271","0.3703510880470276","0.31794071197509766","0.41311055421829224","0.5241498589515686","0.5070852637290955","0.5354985594749451","0.5962255358695984","0.5562599301338196","0.6333075761795044","0.5367504835128785","0.5216754078865051","0.5433480739593506","0.5295371770858764","0.5192052721977234","0.5350844264030457"
"14","0.4924056589603424","0.48038432002067566","0.5036604404449463","0.39473934173583985","0.3356401324272156","0.43834272027015686","0.5248627305030823","0.5072310566902161","0.5408710241317749","0.6077655553817749","0.5316569209098816","0.670828104019165","0.5353402733802796","0.5197696089744568","0.5468193888664246","0.5290372610092163","0.5261401534080505","0.535223126411438"
"15","0.4919454336166382","0.47913140058517456","0.5092132091522217","0.38700020909309385","0.36143675446510315","0.41001808643341064","0.5290312767028809","0.5197954177856445","0.5365926027297974","0.6064831972122192","0.5599800944328308","0.6473453640937805","0.5447263479232788","0.5238394141197205","0.5682767033576965","0.5311448454856873","0.5287066698074341","0.5336172580718994"
"16","0.4869798839092255","0.47087234258651733","0.49995601177215576","0.38482741117477415","0.35401663184165955","0.4188055396080017","0.5274835109710694","0.5195214152336121","0.5362802147865295","0.6126313090324402","0.5917752981185913","0.6518205404281616","0.5324418067932128","0.5191051363945007","0.5417179465293884","0.5310079693794251","0.526377260684967","0.538303017616272"
"17","0.4879069209098816","0.48148149251937866","0.4922583997249603","0.3845075309276581","0.3596118986606598","0.43112513422966003","0.5333393692970276","0.5254340171813965","0.5428150296211243","0.6615682482719422","0.6364659667015076","0.6944655179977417","0.5349323272705078","0.5255581736564636","0.5493023991584778","0.5319801092147827","0.5296337008476257","0.5363810062408447"
"18","0.49535614252090454","0.48654457926750183","0.5040221810340881","0.39397884011268614","0.35950517654418945","0.4329896867275238","0.5352386951446533","0.5319769978523254","0.5397630929946899","0.6419880390167236","0.6135371327400208","0.6736596822738647","0.5340655207633972","0.5226948857307434","0.548499584197998","0.5340117812156677","0.5225604176521301","0.545557975769043"
"19","0.4908774018287659","0.48658034205436707","0.4980481266975403","0.39569756388664246","0.34950217604637146","0.4422668218612671","0.5391600847244262","0.5238646268844604","0.5481922626495361","0.6385719895362854","0.6033028960227966","0.6630190014839172","0.5444419980049133","0.5380710363388062","0.5575187802314758","0.5354540109634399","0.5291771292686462","0.54056316614151"
"20","0.4935965180397034","0.488643616437912","0.49749860167503357","0.3864697217941284","0.3659949004650116","0.4128440320491791","0.5430143237113952","0.5320941805839539","0.5601139664649963","0.6437255024909974","0.6318289637565613","0.65785813331604","0.5284683704376221","0.516781210899353","0.5387964248657227","0.5440043449401856","0.5334939956665039","0.5491122603416443"
"21","0.4975824892520905","0.48944494128227234","0.5033556818962097","0.40807507634162904","0.3713846802711487","0.4595950245857239","0.5412711501121521","0.5276206135749817","0.5531643629074097","0.6495712399482727","0.6186417937278748","0.6722878217697144","0.42689497470855714","0.3984413146972656","0.4455205798149109","0.5428482055664062","0.5391625761985779","0.5466482043266296"
"22","0.4971676170825958","0.4881112575531006","0.5035349726676941","0.3941119372844696","0.374033659696579","0.43213003873825073","0.5434847116470337","0.5367823839187622","0.557127058506012","0.6343859553337097","0.6065468788146973","0.6666666865348816","0.4308357000350952","0.395384281873703","0.46445992588996887","0.5408877253532409","0.5369848608970642","0.5437880158424377"
"23","0.4950959861278534","0.4847937822341919","0.5046181082725525","0.3974117338657379","0.3656845688819885","0.429283082485199","0.5448560953140259","0.5401012897491455","0.5513009428977966","0.6484344720840454","0.5932203531265259","0.7020898461341858","0.4344176709651947","0.4078414738178253","0.4493815004825592","0.5429075717926025","0.5403485298156738","0.5484588742256165"
"24","0.49550663828849795","0.4912172257900238","0.504077136516571","0.3984880208969116","0.3599822223186493","0.42983192205429077","0.5478645205497742","0.5436599254608154","0.5546936392784119","0.6570461511611938","0.6368173956871033","0.6921707987785339","0.44427751898765566","0.4201960563659668","0.46230757236480713","0.5471229314804077","0.5450623035430908","0.5492604970932007"
"25","0.4929534435272217","0.488437294960022","0.497700959444046","0.40772218108177183","0.3916349709033966","0.4343413710594177","0.552879786491394","0.545181930065155","0.5617176294326782","0.646029019355774","0.6113009452819824","0.6709588766098022","0.4428954780101776","0.42000702023506165","0.4587382376194","0.546180272102356","0.5399420857429504","0.5535441637039185"
