"Step","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_top@1_train","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_top@1_train__MIN","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_top@1_train__MAX","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_top@1_train","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_top@1_train__MIN","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_top@1_train__MAX"
"0","0.5779765248298645","0.5779765248298645","0.5779765248298645","0.7794895172119141","0.7794895172119141","0.7794895172119141"
"1","0.42775458097457886","0.42775458097457886","0.42775458097457886","0.6566087007522583","0.6566087007522583","0.6566087007522583"
"2","0.4248436391353607","0.4248436391353607","0.4248436391353607","0.6543343663215637","0.6543343663215637","0.6543343663215637"
"3","0.4321732521057129","0.4321732521057129","0.4321732521057129","0.6630240678787231","0.6630240678787231","0.6630240678787231"
"4","0.4353697896003723","0.4353697896003723","0.4353697896003723","0.6605644226074219","0.6605644226074219","0.6605644226074219"
"5","0.4404509663581848","0.4404509663581848","0.4404509663581848","0.6672998666763306","0.6672998666763306","0.6672998666763306"
"6","0.4317101538181305","0.4317101538181305","0.4317101538181305","0.6772618293762207","0.6772618293762207","0.6772618293762207"
"7","0.43023690581321716","0.43023690581321716","0.43023690581321716","0.6701328754425049","0.6701328754425049","0.6701328754425049"
"8","0.4209556579589844","0.4209556579589844","0.4209556579589844","0.6675829887390137","0.6675829887390137","0.6675829887390137"
"9","0.41421064734458923","0.41421064734458923","0.41421064734458923","0.6683588624000549","0.6683588624000549","0.6683588624000549"
"10","0.40591609477996826","0.40591609477996826","0.40591609477996826","0.6665856242179871","0.6665856242179871","0.6665856242179871"
"11","0.40451470017433167","0.40451470017433167","0.40451470017433167","0.666985273361206","0.666985273361206","0.666985273361206"
"12","0.40571948885917664","0.40571948885917664","0.40571948885917664","0.6588815450668335","0.6588815450668335","0.6588815450668335"
"13","0.4002193212509155","0.4002193212509155","0.4002193212509155","0.6574341058731079","0.6574341058731079","0.6574341058731079"
"14","0.40535032749176025","0.40535032749176025","0.40535032749176025","0.6549236178398132","0.6549236178398132","0.6549236178398132"
"15","0.40678584575653076","0.40678584575653076","0.40678584575653076","0.6546008586883545","0.6546008586883545","0.6546008586883545"
"16","0.4031437039375305","0.4031437039375305","0.4031437039375305","0.6550566554069519","0.6550566554069519","0.6550566554069519"
"17","0.40756475925445557","0.40756475925445557","0.40756475925445557","0.6550893783569336","0.6550893783569336","0.6550893783569336"
"18","0.3977586030960083","0.3977586030960083","0.3977586030960083","0.6553994417190552","0.6553994417190552","0.6553994417190552"
"19","0.3914449214935303","0.3914449214935303","0.3914449214935303","0.6558360457420349","0.6558360457420349","0.6558360457420349"
"20","0.3948870599269867","0.3948870599269867","0.3948870599269867","0.6571387648582458","0.6571387648582458","0.6571387648582458"
"21","0.39229610562324524","0.39229610562324524","0.39229610562324524","0.65484619140625","0.65484619140625","0.65484619140625"
"22","0.38641542196273804","0.38641542196273804","0.38641542196273804","0.6541821956634521","0.6541821956634521","0.6541821956634521"
"23","0.3871603310108185","0.3871603310108185","0.3871603310108185","0.656019926071167","0.656019926071167","0.656019926071167"
"24","0.382753849029541","0.382753849029541","0.382753849029541","0.6574365496635437","0.6574365496635437","0.6574365496635437"
"25","0.38250887393951416","0.38250887393951416","0.38250887393951416","0.6633895635604858","0.6633895635604858","0.6633895635604858"
"26","0.38142335414886475","0.38142335414886475","0.38142335414886475","0.6635581254959106","0.6635581254959106","0.6635581254959106"
"27","0.3855348527431488","0.3855348527431488","0.3855348527431488","0.6632422804832458","0.6632422804832458","0.6632422804832458"
"28","0.3827589750289917","0.3827589750289917","0.3827589750289917","0.6650320291519165","0.6650320291519165","0.6650320291519165"
"29","0.3780262768268585","0.3780262768268585","0.3780262768268585","0.665278434753418","0.665278434753418","0.665278434753418"
"30","0.3780665099620819","0.3780665099620819","0.3780665099620819","0.664402186870575","0.664402186870575","0.664402186870575"
"31","0.37766650319099426","0.37766650319099426","0.37766650319099426","0.6611407399177551","0.6611407399177551","0.6611407399177551"
"32","0.3733607530593872","0.3733607530593872","0.3733607530593872","0.6605931520462036","0.6605931520462036","0.6605931520462036"
"33","0.37620753049850464","0.37620753049850464","0.37620753049850464","0.6628220677375793","0.6628220677375793","0.6628220677375793"
"34","0.37653881311416626","0.37653881311416626","0.37653881311416626","0.6510029435157776","0.6510029435157776","0.6510029435157776"
"35","0.3739924430847168","0.3739924430847168","0.3739924430847168","0.6534109115600586","0.6534109115600586","0.6534109115600586"
