"Step","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_top@1_train","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_top@1_train__MIN","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_top@1_train__MAX","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_top@1_train","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_top@1_train__MIN","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_top@1_train__MAX"
"0","0.7714977264404297","0.7714977264404297","0.7714977264404297","0.8836943507194519","0.8836943507194519","0.8836943507194519"
"1","0.6774763464927673","0.6774763464927673","0.6774763464927673","0.8216734528541565","0.8216734528541565","0.8216734528541565"
"2","0.6175234317779541","0.6175234317779541","0.6175234317779541","0.7892160415649414","0.7892160415649414","0.7892160415649414"
"3","0.6665446758270264","0.6665446758270264","0.6665446758270264","0.8269643783569336","0.8269643783569336","0.8269643783569336"
"4","0.6735396385192871","0.6735396385192871","0.6735396385192871","0.8439568877220154","0.8439568877220154","0.8439568877220154"
"5","0.6924557089805603","0.6924557089805603","0.6924557089805603","0.8571166396141052","0.8571166396141052","0.8571166396141052"
"6","0.7001461386680603","0.7001461386680603","0.7001461386680603","0.8517647385597229","0.8517647385597229","0.8517647385597229"
"7","0.6867798566818237","0.6867798566818237","0.6867798566818237","0.8450057506561279","0.8450057506561279","0.8450057506561279"
"8","0.6838271617889404","0.6838271617889404","0.6838271617889404","0.8582309484481812","0.8582309484481812","0.8582309484481812"
"9","0.6762244701385498","0.6762244701385498","0.6762244701385498","0.8386326432228088","0.8386326432228088","0.8386326432228088"
"10","0.6766735315322876","0.6766735315322876","0.6766735315322876","0.8589314818382263","0.8589314818382263","0.8589314818382263"
"11","0.6767297387123108","0.6767297387123108","0.6767297387123108","0.8594957590103149","0.8594957590103149","0.8594957590103149"
"12","0.6707078814506531","0.6707078814506531","0.6707078814506531","0.8590969443321228","0.8590969443321228","0.8590969443321228"
"13","0.6559897661209106","0.6559897661209106","0.6559897661209106","0.8578635454177856","0.8578635454177856","0.8578635454177856"
"14","0.6524079442024231","0.6524079442024231","0.6524079442024231","0.853765606880188","0.853765606880188","0.853765606880188"
"15","0.6417962908744812","0.6417962908744812","0.6417962908744812","0.8505469560623169","0.8505469560623169","0.8505469560623169"
"16","0.6348584294319153","0.6348584294319153","0.6348584294319153","0.8536890745162964","0.8536890745162964","0.8536890745162964"
"17","0.631274938583374","0.631274938583374","0.631274938583374","0.8419916033744812","0.8419916033744812","0.8419916033744812"
"18","0.6254327893257141","0.6254327893257141","0.6254327893257141","0.7746924161911011","0.7746924161911011","0.7746924161911011"
"19","0.6188786029815674","0.6188786029815674","0.6188786029815674","0.8425624966621399","0.8425624966621399","0.8425624966621399"
"20","0.616209864616394","0.616209864616394","0.616209864616394","0.8365525603294373","0.8365525603294373","0.8365525603294373"
"21","0.6095775961875916","0.6095775961875916","0.6095775961875916","0.8361406326293945","0.8361406326293945","0.8361406326293945"
"22","0.5966143608093262","0.5966143608093262","0.5966143608093262","0.8272393345832825","0.8272393345832825","0.8272393345832825"
"23","0.5898796916007996","0.5898796916007996","0.5898796916007996","0.8308206796646118","0.8308206796646118","0.8308206796646118"
"24","0.5843494534492493","0.5843494534492493","0.5843494534492493","0.8195586204528809","0.8195586204528809","0.8195586204528809"
"25","0.5821254253387451","0.5821254253387451","0.5821254253387451","0.8240082263946533","0.8240082263946533","0.8240082263946533"
"26","0.5704666972160339","0.5704666972160339","0.5704666972160339","0.8230310678482056","0.8230310678482056","0.8230310678482056"
"27","0.5674153566360474","0.5674153566360474","0.5674153566360474","0.8165503740310669","0.8165503740310669","0.8165503740310669"
"28","0.5581547021865845","0.5581547021865845","0.5581547021865845","0.8176758885383606","0.8176758885383606","0.8176758885383606"
"29","0.5591179132461548","0.5591179132461548","0.5591179132461548","0.8141268491744995","0.8141268491744995","0.8141268491744995"
"30","0.5562266111373901","0.5562266111373901","0.5562266111373901","0.8164616823196411","0.8164616823196411","0.8164616823196411"
"31","0.5468745827674866","0.5468745827674866","0.5468745827674866","0.8110197186470032","0.8110197186470032","0.8110197186470032"
"32","0.5414832830429077","0.5414832830429077","0.5414832830429077","0.8091004490852356","0.8091004490852356","0.8091004490852356"
"33","0.5427556037902832","0.5427556037902832","0.5427556037902832","0.7680116891860962","0.7680116891860962","0.7680116891860962"
"34","0.5354079008102417","0.5354079008102417","0.5354079008102417","0.8021503686904907","0.8021503686904907","0.8021503686904907"
"35","0.5302737355232239","0.5302737355232239","0.5302737355232239","0.8033041954040527","0.8033041954040527","0.8033041954040527"
"36","0.5315431356430054","0.5315431356430054","0.5315431356430054","0.794273853302002","0.794273853302002","0.794273853302002"
"37","0.5297180414199829","0.5297180414199829","0.5297180414199829","0.7982730269432068","0.7982730269432068","0.7982730269432068"
"38","0.5312491059303284","0.5312491059303284","0.5312491059303284","0.798484742641449","0.798484742641449","0.798484742641449"
"39","0.5265498161315918","0.5265498161315918","0.5265498161315918","0.7946091890335083","0.7946091890335083","0.7946091890335083"
"40","0.5243282914161682","0.5243282914161682","0.5243282914161682","0.7959712743759155","0.7959712743759155","0.7959712743759155"
"41","0.5192244052886963","0.5192244052886963","0.5192244052886963","0.7978785037994385","0.7978785037994385","0.7978785037994385"
"42","0.5143840312957764","0.5143840312957764","0.5143840312957764","0.786816418170929","0.786816418170929","0.786816418170929"
"43","0.5109648108482361","0.5109648108482361","0.5109648108482361","0.7893192172050476","0.7893192172050476","0.7893192172050476"
"44","0.516616702079773","0.516616702079773","0.516616702079773","0.7868196368217468","0.7868196368217468","0.7868196368217468"
"45","0.5130904912948608","0.5130904912948608","0.5130904912948608","0.7788772583007812","0.7788772583007812","0.7788772583007812"
"46","0.5116286277770996","0.5116286277770996","0.5116286277770996","0.7881810069084167","0.7881810069084167","0.7881810069084167"
"47","0.5106849670410156","0.5106849670410156","0.5106849670410156","0.7869622111320496","0.7869622111320496","0.7869622111320496"
"48","0.5077306628227234","0.5077306628227234","0.5077306628227234","0.7655944228172302","0.7655944228172302","0.7655944228172302"
