"Step","FIXMATCH : 2023-09-14_10-55-41 - unlabeled_ece_train","FIXMATCH : 2023-09-14_10-55-41 - unlabeled_ece_train__MIN","FIXMATCH : 2023-09-14_10-55-41 - unlabeled_ece_train__MAX","FIXMATCH : 2023-09-13_23-37-42 - unlabeled_ece_train","FIXMATCH : 2023-09-13_23-37-42 - unlabeled_ece_train__MIN","FIXMATCH : 2023-09-13_23-37-42 - unlabeled_ece_train__MAX"
"0","0.46022847294807434","0.46022847294807434","0.46022847294807434","0.23715940117835999","0.23715940117835999","0.23715940117835999"
"1","0.577745795249939","0.577745795249939","0.577745795249939","0.3690967857837677","0.3690967857837677","0.3690967857837677"
"2","0.6139209866523743","0.6139209866523743","0.6139209866523743","0.40676382184028625","0.40676382184028625","0.40676382184028625"
"3","0.6154279112815857","0.6154279112815857","0.6154279112815857","0.41330116987228394","0.41330116987228394","0.41330116987228394"
"4","0.616079568862915","0.616079568862915","0.616079568862915","0.4111386835575104","0.4111386835575104","0.4111386835575104"
"5","0.6126035451889038","0.6126035451889038","0.6126035451889038","0.4064100682735443","0.4064100682735443","0.4064100682735443"
"6","0.6121969819068909","0.6121969819068909","0.6121969819068909","0.4011540114879608","0.4011540114879608","0.4011540114879608"
"7","0.6086252927780151","0.6086252927780151","0.6086252927780151","0.3968333303928375","0.3968333303928375","0.3968333303928375"
"8","0.6063678860664368","0.6063678860664368","0.6063678860664368","0.3889496624469757","0.3889496624469757","0.3889496624469757"
"9","0.6070109605789185","0.6070109605789185","0.6070109605789185","0.382365345954895","0.382365345954895","0.382365345954895"
"10","0.6065648198127747","0.6065648198127747","0.6065648198127747","0.3746807277202606","0.3746807277202606","0.3746807277202606"
"11","0.6069267392158508","0.6069267392158508","0.6069267392158508","0.37554147839546204","0.37554147839546204","0.37554147839546204"
"12","0.6086040735244751","0.6086040735244751","0.6086040735244751","0.372694730758667","0.372694730758667","0.372694730758667"
"13","0.6072556376457214","0.6072556376457214","0.6072556376457214","0.37381839752197266","0.37381839752197266","0.37381839752197266"
"14","0.6094808578491211","0.6094808578491211","0.6094808578491211","0.37123626470565796","0.37123626470565796","0.37123626470565796"
"15","0.6137927770614624","0.6137927770614624","0.6137927770614624","0.3691433370113373","0.3691433370113373","0.3691433370113373"
"16","0.6165138483047485","0.6165138483047485","0.6165138483047485","0.37032991647720337","0.37032991647720337","0.37032991647720337"
"17","0.6170124411582947","0.6170124411582947","0.6170124411582947","0.37082499265670776","0.37082499265670776","0.37082499265670776"
"18","0.6210942268371582","0.6210942268371582","0.6210942268371582","0.3727162480354309","0.3727162480354309","0.3727162480354309"
"19","0.6228887438774109","0.6228887438774109","0.6228887438774109","0.374117910861969","0.374117910861969","0.374117910861969"
"20","0.6252922415733337","0.6252922415733337","0.6252922415733337","0.37747278809547424","0.37747278809547424","0.37747278809547424"
"21","0.6284312009811401","0.6284312009811401","0.6284312009811401","0.37972748279571533","0.37972748279571533","0.37972748279571533"
"22","0.6298030614852905","0.6298030614852905","0.6298030614852905","0.3841984272003174","0.3841984272003174","0.3841984272003174"
"23","0.6327030062675476","0.6327030062675476","0.6327030062675476","0.38677310943603516","0.38677310943603516","0.38677310943603516"
"24","0.637207567691803","0.637207567691803","0.637207567691803","0.38909319043159485","0.38909319043159485","0.38909319043159485"
"25","0.638878345489502","0.638878345489502","0.638878345489502","0.3922523558139801","0.3922523558139801","0.3922523558139801"
"26","0.6419309377670288","0.6419309377670288","0.6419309377670288","0.3953966200351715","0.3953966200351715","0.3953966200351715"
"27","0.644812285900116","0.644812285900116","0.644812285900116","0.39923128485679626","0.39923128485679626","0.39923128485679626"
"28","0.6478949189186096","0.6478949189186096","0.6478949189186096","0.4028764069080353","0.4028764069080353","0.4028764069080353"
"29","0.6493395566940308","0.6493395566940308","0.6493395566940308","0.40550750494003296","0.40550750494003296","0.40550750494003296"
"30","0.6533718705177307","0.6533718705177307","0.6533718705177307","0.40765440464019775","0.40765440464019775","0.40765440464019775"
"31","0.656154453754425","0.656154453754425","0.656154453754425","0.40935978293418884","0.40935978293418884","0.40935978293418884"
"32","0.6582302451133728","0.6582302451133728","0.6582302451133728","0.4135986864566803","0.4135986864566803","0.4135986864566803"
"33","0.6598520278930664","0.6598520278930664","0.6598520278930664","0.4174157679080963","0.4174157679080963","0.4174157679080963"
