"Step","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_ece_train","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_ece_train__MIN","CaliMATCH : 2023-09-15_02-32-24 - unlabeled_ece_train__MAX","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_ece_train","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_ece_train__MIN","CaliMATCH : 2023-09-14_20-07-45 - unlabeled_ece_train__MAX"
"0","0.3899511694908142","0.3899511694908142","0.3899511694908142","0.16373643279075623","0.16373643279075623","0.16373643279075623"
"1","0.39528992772102356","0.39528992772102356","0.39528992772102356","0.2187291532754898","0.2187291532754898","0.2187291532754898"
"2","0.40658923983573914","0.40658923983573914","0.40658923983573914","0.23170819878578186","0.23170819878578186","0.23170819878578186"
"3","0.3853870630264282","0.3853870630264282","0.3853870630264282","0.21967262029647827","0.21967262029647827","0.21967262029647827"
"4","0.378326952457428","0.378326952457428","0.378326952457428","0.21795731782913208","0.21795731782913208","0.21795731782913208"
"5","0.37460586428642273","0.37460586428642273","0.37460586428642273","0.21347953379154205","0.21347953379154205","0.21347953379154205"
"6","0.370134562253952","0.370134562253952","0.370134562253952","0.20839132368564606","0.20839132368564606","0.20839132368564606"
"7","0.37747856974601746","0.37747856974601746","0.37747856974601746","0.20276080071926117","0.20276080071926117","0.20276080071926117"
"8","0.3766896724700928","0.3766896724700928","0.3766896724700928","0.2096647322177887","0.2096647322177887","0.2096647322177887"
"9","0.3784254789352417","0.3784254789352417","0.3784254789352417","0.2001655399799347","0.2001655399799347","0.2001655399799347"
"10","0.37170735001564026","0.37170735001564026","0.37170735001564026","0.20107029378414154","0.20107029378414154","0.20107029378414154"
"11","0.36713579297065735","0.36713579297065735","0.36713579297065735","0.20167195796966553","0.20167195796966553","0.20167195796966553"
"12","0.37109434604644775","0.37109434604644775","0.37109434604644775","0.19710266590118408","0.19710266590118408","0.19710266590118408"
"13","0.3732873201370239","0.3732873201370239","0.3732873201370239","0.1946219503879547","0.1946219503879547","0.1946219503879547"
"14","0.37173908948898315","0.37173908948898315","0.37173908948898315","0.19312506914138794","0.19312506914138794","0.19312506914138794"
"15","0.38062798976898193","0.38062798976898193","0.38062798976898193","0.1903853714466095","0.1903853714466095","0.1903853714466095"
"16","0.38302478194236755","0.38302478194236755","0.38302478194236755","0.1869070678949356","0.1869070678949356","0.1869070678949356"
"17","0.38526299595832825","0.38526299595832825","0.38526299595832825","0.18950292468070984","0.18950292468070984","0.18950292468070984"
"18","0.38834071159362793","0.38834071159362793","0.38834071159362793","0.22593794763088226","0.22593794763088226","0.22593794763088226"
"19","0.39163485169410706","0.39163485169410706","0.39163485169410706","0.18530434370040894","0.18530434370040894","0.18530434370040894"
"20","0.39268386363983154","0.39268386363983154","0.39268386363983154","0.1876114159822464","0.1876114159822464","0.1876114159822464"
"21","0.3993918001651764","0.3993918001651764","0.3993918001651764","0.18812748789787292","0.18812748789787292","0.18812748789787292"
