"Step","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_ece_train","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_ece_train__MIN","FIXMATCH : 2023-09-14_04-52-33 - unlabeled_ece_train__MAX","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_ece_train","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_ece_train__MIN","FIXMATCH : 2023-09-13_18-26-13 - unlabeled_ece_train__MAX"
"0","0.4296287000179291","0.4296287000179291","0.4296287000179291","0.22352749109268188","0.22352749109268188","0.22352749109268188"
"1","0.5628542900085449","0.5628542900085449","0.5628542900085449","0.3355899155139923","0.3355899155139923","0.3355899155139923"
"2","0.5663831830024719","0.5663831830024719","0.5663831830024719","0.3386213481426239","0.3386213481426239","0.3386213481426239"
"3","0.5594629049301147","0.5594629049301147","0.5594629049301147","0.3303556740283966","0.3303556740283966","0.3303556740283966"
"4","0.5565027594566345","0.5565027594566345","0.5565027594566345","0.3330303132534027","0.3330303132534027","0.3330303132534027"
"5","0.5513598918914795","0.5513598918914795","0.5513598918914795","0.3264833092689514","0.3264833092689514","0.3264833092689514"
"6","0.5605171918869019","0.5605171918869019","0.5605171918869019","0.31661954522132874","0.31661954522132874","0.31661954522132874"
"7","0.562186062335968","0.562186062335968","0.562186062335968","0.32396358251571655","0.32396358251571655","0.32396358251571655"
"8","0.5717450380325317","0.5717450380325317","0.5717450380325317","0.3266807496547699","0.3266807496547699","0.3266807496547699"
"9","0.5788575410842896","0.5788575410842896","0.5788575410842896","0.32615092396736145","0.32615092396736145","0.32615092396736145"
"10","0.5875881910324097","0.5875881910324097","0.5875881910324097","0.3280479311943054","0.3280479311943054","0.3280479311943054"
"11","0.589126706123352","0.589126706123352","0.589126706123352","0.3278347849845886","0.3278347849845886","0.3278347849845886"
"12","0.5881006717681885","0.5881006717681885","0.5881006717681885","0.33633294701576233","0.33633294701576233","0.33633294701576233"
"13","0.5937724113464355","0.5937724113464355","0.5937724113464355","0.3378978669643402","0.3378978669643402","0.3378978669643402"
"14","0.5887174010276794","0.5887174010276794","0.5887174010276794","0.3407039940357208","0.3407039940357208","0.3407039940357208"
"15","0.5875023603439331","0.5875023603439331","0.5875023603439331","0.34125956892967224","0.34125956892967224","0.34125956892967224"
"16","0.5913668870925903","0.5913668870925903","0.5913668870925903","0.3409925699234009","0.3409925699234009","0.3409925699234009"
"17","0.5869174003601074","0.5869174003601074","0.5869174003601074","0.3411320745944977","0.3411320745944977","0.3411320745944977"
"18","0.5971570014953613","0.5971570014953613","0.5971570014953613","0.3409806191921234","0.3409806191921234","0.3409806191921234"
"19","0.6038331985473633","0.6038331985473633","0.6038331985473633","0.3406904935836792","0.3406904935836792","0.3406904935836792"
"20","0.6005278825759888","0.6005278825759888","0.6005278825759888","0.3395759165287018","0.3395759165287018","0.3395759165287018"
"21","0.6032548546791077","0.6032548546791077","0.6032548546791077","0.3420579135417938","0.3420579135417938","0.3420579135417938"
"22","0.6094126105308533","0.6094126105308533","0.6094126105308533","0.3428509533405304","0.3428509533405304","0.3428509533405304"
"23","0.6086883544921875","0.6086883544921875","0.6086883544921875","0.3410969078540802","0.3410969078540802","0.3410969078540802"
"24","0.6134288311004639","0.6134288311004639","0.6134288311004639","0.3397347033023834","0.3397347033023834","0.3397347033023834"
"25","0.613780677318573","0.613780677318573","0.613780677318573","0.3337290287017822","0.3337290287017822","0.3337290287017822"
"26","0.6150379776954651","0.6150379776954651","0.6150379776954651","0.3336973190307617","0.3336973190307617","0.3336973190307617"
"27","0.6108583807945251","0.6108583807945251","0.6108583807945251","0.33411476016044617","0.33411476016044617","0.33411476016044617"
"28","0.6139084696769714","0.6139084696769714","0.6139084696769714","0.33228421211242676","0.33228421211242676","0.33228421211242676"
"29","0.6188317537307739","0.6188317537307739","0.6188317537307739","0.33212077617645264","0.33212077617645264","0.33212077617645264"
"30","0.6189160346984863","0.6189160346984863","0.6189160346984863","0.3331148028373718","0.3331148028373718","0.3331148028373718"
