"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX"
"10","0.8921480298042297","0.8728432059288025","0.9116029143333435","0.8831958055496216","0.8757189512252808","0.8965991735458374","0.2878469586372375","0.2239309847354889","0.34583646059036255","0.9038259625434876","0.8959739804267883","0.9153538346290588","0.8362340569496155","0.8180795311927795","0.8584645986557007","0.7604401111602783","0.7188047170639038","0.7960740327835083"
"11","0.8950737595558167","0.8808451890945435","0.9052262902259827","0.8727431774139405","0.8515878915786743","0.8882220387458801","0.19522380288690327","0.009627406485378742","0.5242560505867004","0.9120780229568481","0.9077269434928894","0.9177294373512268","0.8366841793060302","0.8310827612876892","0.8492122888565063","0.5947736899058024","0.5296323895454407","0.6969242095947266"
"12","0.904101026058197","0.8982245326042175","0.9127281904220581","0.8817704439163208","0.8587146997451782","0.8914728760719299","0.1898974736686796","0.003750937758013606","0.37634408473968506","0.916304075717926","0.9067266583442688","0.9253563284873962","0.8426356554031372","0.8270817995071411","0.8608402013778687","0.7427690227826437","0.7144286036491394","0.778944730758667"
"13","0.9054513573646545","0.8960990309715271","0.9091022610664368","0.8974743604660034","0.8853463530540466","0.9133533239364624","0.23998499661684036","0.047136783599853516","0.5702675580978394","0.9186296582221984","0.9029757380485535","0.9308577179908752","0.8504626274108886","0.8273318409919739","0.8987246751785278","0.7058847943941752","0.695673942565918","0.724306046962738"
"14","0.9093273401260376","0.9011002779006958","0.917479395866394","0.894173538684845","0.8689672350883484","0.9056013822555542","0.18797199726104735","0.02338084578514099","0.5967742204666138","0.9260565161705017","0.9118529558181763","0.9317329525947571","0.8419354796409607","0.7949487566947937","0.8870967626571655","0.7338918050130209","0.7061765193939209","0.770942747592926"
"15","0.9149287343025208","0.9086021780967712","0.9238559603691101","0.9102275490760803","0.9021005034446716","0.9159789681434631","0.20080020036548377","0.011377844028174877","0.4221055209636688","0.922455620765686","0.9148536920547485","0.9267317056655884","0.8544136047363281","0.8315829038619995","0.8680920004844666","0.7414770325024923","0.7138034701347351","0.7575643658638"
"16","0.9138284683227539","0.9079769849777222","0.917479395866394","0.9036509156227112","0.8742185831069946","0.9217304587364197","0.2743435874581337","0.03288321942090988","0.8672168254852295","0.9256064057350158","0.9153538346290588","0.934108555316925","0.8598399519920349","0.8414603471755981","0.8723430633544922","0.7571476101875305","0.7435609102249146","0.7838209271430969"
"17","0.9210802793502808","0.9134783744812012","0.9267317056655884","0.9195798993110657","0.9149787425994873","0.9292322993278503","0.09514878764748573","0.036634158343076706","0.21755439043045044","0.9299574851989746","0.9184796214103699","0.9419854879379272","0.8493623375892639","0.8349587321281433","0.8635908961296082","0.7168458501497904","0.6984245777130127","0.7366841435432434"
"18","0.9181795477867126","0.9099774956703186","0.9271067976951599","0.9210052490234375","0.9098524451255798","0.9331082701683044","0.06681670360267163","0.02150537632405758","0.09652413427829742","0.9314078450202942","0.923105776309967","0.9417354464530945","0.8656664252281189","0.85096275806427","0.8973493576049805","0.7395182251930237","0.6955488920211792","0.7786946892738342"
"19","0.9176544070243835","0.9048511981964111","0.9276068806648254","0.920205044746399","0.9116029143333435","0.9283570647239685","0.05761440470814705","0.034133534878492355","0.08289572596549988","0.9360590100288391","0.930232584476471","0.9436109066009521","0.8577894449234009","0.8347086906433105","0.8713428378105164","0.7427690227826437","0.7256814241409302","0.7585646510124207"
