"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MAX"
"0","1","1","1","0.5990789294242859","0.5935050249099731","0.6021345257759094","0.48400305956602097","0.3333333432674408","0.5924748182296753","0.5501321628689766","0.3333333432674408","0.6613546013832092","0.6008525490760803","0.5918595194816589","0.6048709750175476","","",""
"1","0.3613312870264053","0.21600337326526642","0.49930331110954285","0.5255984723567962","0.49030837416648865","0.5636683106422424","0.18159186691045762","0.06450137495994568","0.3351796269416809","0.5722734928131104","0.5634595155715942","0.5908368229866028","0.5494868397712708","0.4996734857559204","0.5873848795890808","0.3982974092165629","0.20987874269485474","0.6008187532424927"
"2","0.3531591594219208","0.3207547068595886","0.4084404706954956","0.5434254169464111","0.5097766518592834","0.5670046210289001","0.21082852110266687","0.05324511602520943","0.5694103240966797","0.5882479667663574","0.569322943687439","0.6014444231987","0.5407683372497558","0.4865745007991791","0.6010057926177979","0.21130355075001717","0.031329598277807236","0.392708957195282"
"3","0.34934083819389344","0.2831781506538391","0.432235449552536","0.5466305494308472","0.5375123023986816","0.5653980374336243","0.18822039887309075","0.0521361343562603","0.5674278140068054","0.5909496545791626","0.5828332304954529","0.5987479090690613","0.5239773631095886","0.47193747758865356","0.5667667388916016","0.2376860740284125","0.05375603213906288","0.4970252215862274"
"4","0.490409779548645","0.4405142068862915","0.596355676651001","0.5685231804847717","0.5471406579017639","0.5775236487388611","0.07235632911324501","0.04340636730194092","0.10164835304021835","0.5935223698616028","0.5833486318588257","0.6032775640487671","0.5091914534568787","0.45734718441963196","0.5620842576026917","0.18495774703721204","0.027807487174868584","0.46246111392974854"
"5","0.4509346902370453","0.3336103856563568","0.599215030670166","0.5675988078117371","0.5489065647125244","0.5815095901489258","0.06504352279007435","0.027461139485239983","0.11611289530992508","0.5922358155250549","0.5893324017524719","0.5965679883956909","0.5197818756103516","0.4974154233932495","0.5823498368263245","0.27012012402216595","0.19314035773277283","0.31757187843322754"
"6","0.42034156918525695","0.3784472644329071","0.45511192083358765","0.5795022964477539","0.5700419545173645","0.5951344966888428","0.0503234189003706","0.027519656345248222","0.0696909949183464","0.5938506722450256","0.5878044366836548","0.6003543138504028","0.5051574766635895","0.4894692599773407","0.5262684226036072","0.27500347793102264","0.16941137611865997","0.36543869972229004"
"7","0.4172530949115753","0.3882066011428833","0.4383726418018341","0.5856053113937378","0.5712573528289795","0.6003725528717041","0.09574855417013169","0.01590457186102867","0.29065683484077454","0.5935836911201477","0.5886297225952148","0.5997500419616699","0.502241450548172","0.4922672510147095","0.5156779289245605","0.3372412820657094","0.2913563847541809","0.4052220582962036"
"8","0.43729580044746397","0.40760961174964905","0.48295289278030396","0.5805309295654297","0.5689055323600769","0.5927019715309143","0.23419714719057083","0.08228123933076859","0.4972488582134247","0.5901912808418274","0.5806376338005066","0.5956612825393677","0.5127770125865936","0.4937537610530853","0.5301196575164795","0.3298654655615489","0.2953174412250519","0.3919503092765808"
"9","0.43480721712112425","0.40487074851989746","0.49051135778427124","0.588412082195282","0.5760461091995239","0.5985774993896484","0.16571747064590453","0.050589051097631454","0.4008941948413849","0.5944772720336914","0.5839716196060181","0.5999667644500732","0.5135934352874756","0.5071114301681519","0.5203647613525391","0.3454810231924057","0.21592821180820465","0.425819456577301"
"10","0.4406227350234985","0.41350457072257996","0.47772204875946045","0.5935911893844604","0.5846055150032043","0.6001366376876831","0.07751968428492546","0.03421787545084953","0.15359167754650116","0.5907884478569031","0.5854151248931885","0.5948436856269836","0.5067280650138855","0.4917333424091339","0.521666407585144","0.31179601947466534","0.26133882999420166","0.36119192838668823"
"11","0.45035143494606017","0.43565359711647034","0.46778377890586853","0.5962734699249268","0.5863298773765564","0.6059899926185608","0.43457286097109316","0.029069768264889717","0.6430274248123169","0.5934144616127014","0.5905061364173889","0.5963597893714905","0.501406192779541","0.4854189157485962","0.5184038281440735","0.25928034881750744","0.21988950669765472","0.2929984927177429"
"12","0.4370290219783783","0.4059593379497528","0.47041964530944824","0.5987259268760681","0.5909116864204407","0.6040260791778564","0.45556249022483825","0.20910972356796265","0.6366335153579712","0.5905880093574524","0.5851135849952698","0.5950427055358887","0.5134894907474518","0.49470487236976624","0.5470394492149353","0.3492269217967987","0.3180076479911804","0.3959510922431946"
"13","0.42869752645492554","0.4039582908153534","0.45167145133018494","0.5986227750778198","0.5911209583282471","0.6042013168334961","0.3492181241512299","0.18431372940540314","0.6358482837677002","0.5906652688980103","0.5851057767868042","0.59698885679245","0.5183789253234863","0.49409019947052","0.5613328218460083","0.2773417532444","0.19780853390693665","0.31751468777656555"
"14","0.4320667445659637","0.41738924384117126","0.45910823345184326","0.6014429926872253","0.596332848072052","0.6070560216903687","0.296590156853199","0.10847457498311996","0.5887472033500671","0.5948214650154113","0.5908417105674744","0.600021481513977","0.5053936779499054","0.4744151532649994","0.5430245995521545","0.2643911888202031","0.20383422076702118","0.3372742831707001"
"15","0.43861976861953733","0.4171901047229767","0.4693148732185364","0.5991211891174316","0.5927737355232239","0.6023147106170654","0.36173545122146605","0.25704044103622437","0.6004260778427124","0.5939071655273438","0.5901070237159729","0.5990432500839233","0.520793205499649","0.4895625412464142","0.5432236790657043","0.3031938870747884","0.2814348638057709","0.33871322870254517"
"16","0.43650753498077394","0.41558441519737244","0.46045929193496704","0.6014450788497925","0.5928646326065063","0.6078958511352539","0.34592562913894653","0.2409847378730774","0.607225775718689","0.5933784604072571","0.5846213698387146","0.5975225567817688","0.5287027835845948","0.5013337135314941","0.5732199549674988","0.30697043736775714","0.2887214422225952","0.3261238932609558"
"17","0.44513848423957825","0.4321747124195099","0.4579927921295166","0.59994478225708","0.5963940620422363","0.6074026823043823","0.2529252052307129","0.13953489065170288","0.43997424840927124","0.5935710191726684","0.5887818932533264","0.5983955264091492","0.5134338736534119","0.5101996660232544","0.5179263353347778","0.22529277205467224","0.19679954648017883","0.24712496995925903"
"18","0.4530320048332214","0.4273524284362793","0.5024570822715759","0.5991158485412598","0.5898619890213013","0.6062655448913574","0.2545586735010147","0.06858406960964203","0.35289186239242554","0.5919101119041443","0.5821822881698608","0.5987581014633179","0.5277705788612366","0.5054849982261658","0.5846163034439087","0.2463007171948751","0.21993987262248993","0.29097628593444824"
"19","0.45062153339385985","0.44184452295303345","0.4721826910972595","0.5993932962417603","0.5869722366333008","0.6048604249954224","0.3327894389629364","0.19343066215515137","0.4273504316806793","0.5903261303901672","0.5830211043357849","0.5947266817092896","0.5284280061721802","0.5232558250427246","0.533721387386322","0.2970883597930272","0.20937956869602203","0.36696577072143555"
"20","0.44992880821228026","0.4329527020454407","0.46002039313316345","0.5968790411949157","0.5899768471717834","0.6071276664733887","0.2448013812303543","0.12426900863647461","0.33415842056274414","0.5900525093078614","0.5756778120994568","0.5973121523857117","0.5089216530323029","0.4963017702102661","0.5260108113288879","0.2785740892092387","0.2486134171485901","0.3046741783618927"
"21","0.45524410605430604","0.44610801339149475","0.4611785411834717","0.5999221205711365","0.5951510071754456","0.6071106791496277","0.3319821447134018","0.20083682239055634","0.42020201683044434","0.5925256848335266","0.5835264921188354","0.5971118807792664","0.11935341507196426","0.05900830030441284","0.19105251133441925","0.26695480942726135","0.2370370328426361","0.2925393283367157"
"22","0.4501011550426483","0.41968265175819397","0.4694526791572571","0.5981101036071778","0.5935133099555969","0.6025593280792236","0.2977017015218735","0.17761556804180145","0.35875216126441956","0.5923256397247314","0.5838474631309509","0.5990713834762573","0.1988655298948288","0.1648317575454712","0.23510925471782684","0.24177283545335135","0.1868446171283722","0.3028218150138855"
"23","0.4500029385089874","0.4371931552886963","0.45933085680007935","0.5993906021118164","0.5980529189109802","0.6008468866348267","0.29761236608028413","0.20716112852096558","0.4575163424015045","0.5915529489517212","0.5822545886039734","0.5980753898620605","0.194324354827404","0.10974200814962387","0.2719298303127289","0.30142025152842206","0.24523571133613586","0.34405407309532166"
"24","0.4563348710536957","0.4409821331501007","0.48228150606155396","0.6007802724838257","0.5962762832641602","0.6049720644950867","0.2908898800611496","0.14951573312282562","0.3962264060974121","0.5915505766868592","0.5769274234771729","0.5973866581916809","0.18758479952812196","0.12947937846183777","0.25046730041503906","0.2328411340713501","0.1957056075334549","0.2667381465435028"
"25","0.46496922373771665","0.44691118597984314","0.4832172989845276","0.5998276829719543","0.5975139141082764","0.605563759803772","0.31732081472873686","0.21592921018600464","0.4831932783126831","0.5912542462348938","0.5847892165184021","0.5943320393562317","0.19852825701236726","0.13726115226745605","0.2793821394443512","0.20639774203300476","0.15777230262756348","0.24352659285068512"
"26","0.4513307988643646","0.4387175142765045","0.46429598331451416","0.5999897480010986","0.5980105996131897","0.6049726605415344","0.317817023396492","0.24610592424869537","0.40692639350891113","0.5870620012283325","0.5604665875434875","0.5986629128456116","0.20242574512958528","0.16549460589885712","0.25849878787994385","0.24338593085606894","0.20928850769996643","0.26966968178749084"
"27","0.4488492369651794","0.4234248101711273","0.47110381722450256","0.5989643931388855","0.5967156887054443","0.6021890044212341","0.30544352531433105","0.2699114978313446","0.37015780806541443","0.5899538278579712","0.5819901823997498","0.5979533791542053","0.21150046288967134","0.1695963591337204","0.293215274810791","0.2879323462645213","0.25938406586647034","0.30606549978256226"
"28","0.45677595734596255","0.4325306713581085","0.4779883027076721","0.6013312220573426","0.5990064740180969","0.604017972946167","0.397219717502594","0.2639714479446411","0.5476922988891602","0.5885874509811402","0.5747467279434204","0.5966652631759644","0.22153008878231048","0.19493357837200165","0.29544612765312195","0.22677756349245706","0.2149849832057953","0.23374277353286743"
"29","0.4557144820690155","0.43827253580093384","0.4767646789550781","0.5984697461128234","0.5959569215774536","0.6028566956520081","0.5105004370212555","0.2665952742099762","0.691601037979126","0.588679850101471","0.5754193067550659","0.5959402918815613","0.22587884366512298","0.16945844888687134","0.31665679812431335","0.24715621769428253","0.15307046473026276","0.3380739390850067"
"30","0.4630039393901825","0.43698954582214355","0.48246893286705017","0.5994091629981995","0.5956565737724304","0.6028513312339783","0.4194168210029602","0.34333333373069763","0.533707857131958","0.5883635520935059","0.5765945911407471","0.5957940220832825","0.21309319138526917","0.17380917072296143","0.27096688747406006","0.23801384369532266","0.13736188411712646","0.29715967178344727"
"31","0.46383772492408754","0.4387931823730469","0.4749484658241272","0.5983359932899475","0.5940419435501099","0.6049157977104187","0.34574168026447294","0.20293398201465607","0.5525113940238953","0.5880640029907227","0.5741338729858398","0.5963196754455566","0.23081472516059875","0.1820182353258133","0.2906823456287384","0.23656832675139108","0.2185472548007965","0.2600523829460144"
