"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"22","0.016379866376519205","0.011279892176389694","0.022727273404598236","0.16018309891223909","0.11290322244167328","0.20060789585113525","0.5920166850090027","0.5838243365287781","0.5989952087402344","0.1988655298948288","0.1648317575454712","0.23510925471782684","0.014470432264109453","0.012581868097186089","0.017001545056700706"
"23","0.01734632644802332","0.013501614332199097","0.023564504459500313","0.16083003282546998","0.09090909361839294","0.22834645211696625","0.5914236903190613","0.582231342792511","0.5979006290435791","0.194324354827404","0.10974200814962387","0.2719298303127289","0.02022739282498757","0.013714668340981007","0.026058116927742958"
"24","0.017872735671699048","0.012363850139081478","0.027019131928682327","0.12120490074157715","0.05904059112071991","0.16010499000549316","0.5914363861083984","0.5768882632255554","0.5973318815231323","0.18758479952812196","0.12947937846183777","0.25046730041503906","0.01782348162184159","0.012530120089650154","0.025409836322069168"
"25","0.017681867629289628","0.01259519625455141","0.022152839228510857","0.1646702118217945","0.05764966830611229","0.2904762029647827","0.5907978296279908","0.5834118127822876","0.5941389203071594","0.19852825701236726","0.13726115226745605","0.2793821394443512","0.018516292174657185","0.017549723386764526","0.01955990307033062"
"26","0.01834302060306072","0.012908903881907463","0.025847457349300385","0.13215795755386353","0.08620689809322357","0.16621984541416168","0.5869591355323791","0.5604034662246704","0.5985238552093506","0.20242574512958528","0.16549460589885712","0.25849878787994385","0.01638641208410263","0.014986825175583363","0.019100937992334366"
"27","0.017372485436499118","0.0136133236810565","0.0233624130487442","0.11540095657110214","0.05925925821065903","0.20749999582767487","0.5891833424568176","0.5819392204284668","0.5981525182723999","0.21150046288967134","0.1695963591337204","0.293215274810791","0.019671463097135227","0.016853932291269302","0.02207368239760399"
"28","0.018715777061879636","0.01528134848922491","0.024662360548973083","0.18424263894557952","0.10643015801906586","0.23022432625293732","0.5882451176643372","0.5747075080871582","0.596830427646637","0.22153008878231048","0.19493357837200165","0.29544612765312195","0.016245129828651745","0.015017520636320114","0.017837056890130043"
"29","0.01969734039157629","0.01452251709997654","0.03138105571269989","0.20924746245145798","0.05272407829761505","0.32699620723724365","0.5881162047386169","0.5737942457199097","0.595971941947937","0.22587884366512298","0.16945844888687134","0.31665679812431335","0.014453503924111525","0.013064693659543991","0.015497683547437191"
"30","0.017869180999696255","0.01377693098038435","0.02529039792716503","0.1894126206636429","0.12303665280342102","0.30281689763069153","0.5878209471702576","0.5743110775947571","0.5956975817680359","0.21309319138526917","0.17380917072296143","0.27096688747406006","0.014292809801797072","0.011676938273012638","0.017944535240530968"
"31","0.017283284291625022","0.013345329090952873","0.02708638273179531","0.1542258456349373","0.07692307978868484","0.26582279801368713","0.5876190543174744","0.5732409358024597","0.5966993570327759","0.23081472516059875","0.1820182353258133","0.2906823456287384","0.017264199443161488","0.014746845699846745","0.019831355661153793"
"32","0.017090847343206407","0.013672999106347561","0.02220577374100685","0.15565703809261322","0.08469055593013763","0.21198156476020813","0.5878600955009461","0.5734618902206421","0.596217691898346","0.24424018263816832","0.21517296135425568","0.30119767785072327","0.017035881678263348","0.010897327214479446","0.02283105067908764"
"33","0.018261479400098323","0.015240834094583988","0.024068094789981842","0.15288831740617753","0.047337278723716736","0.2473498284816742","0.5894249320030213","0.5798136591911316","0.5981318354606628","0.2388824224472046","0.21351683139801025","0.29629629850387573","0.017068687826395035","0.01360974833369255","0.021200312301516533"
"34","0.01700405143201351","0.012837538495659828","0.022480163723230362","0.17020691186189651","0.11726384609937668","0.28930819034576416","0.5877952814102173","0.5780167579650879","0.5949474573135376","0.2603928357362747","0.22249093651771545","0.3393014073371887","0.016903004609048367","0.013177400454878807","0.022351644933223724"
"35","0.017524068243801594","0.01344636082649231","0.02385133132338524","0.18666361272335052","0.0881458967924118","0.3058103919029236","0.5895443081855773","0.5782213807106018","0.5967835783958435","0.246397402882576","0.21122600138187408","0.3037317097187042","0.01567179212967555","0.011644374579191208","0.018746158108115196"
"36","0.017801076360046863","0.014254859648644924","0.023952096700668335","0.19036037027835845","0.14785991609096527","0.21276596188545227","0.587530767917633","0.5773184299468994","0.5965566039085388","0.2681489735841751","0.21834713220596313","0.338099867105484","0.015031510343154272","0.012937230058014393","0.018623212352395058"
"37","0.017008961737155916","0.012775842100381851","0.02527233026921749","0.17404553145170212","0.0858505591750145","0.28710123896598816","0.5889263391494751","0.5820661187171936","0.5954669117927551","0.2435648888349533","0.20955528318881989","0.2768218517303467","0.014583632660408815","0.010503881610929966","0.021515434607863426"
