"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX"
"10","0.9819347262382507","0.9797009825706482","0.9834722280502319","0.9662562847137451","0.9623931646347046","0.9702900648117065","0.9599772095680237","0.9067559838294983","0.9819233417510986","0.9640134692192077","0.9397438764572144","0.9751604795455933","0.898690688610077","0.8940367102622986","0.9072103500366211","0.9873832066853842","0.9813098907470703","0.9935640692710876"
"11","0.9793932914733887","0.9764371514320374","0.9835634827613831","0.9672482490539551","0.9637930989265442","0.9732785224914551","0.5090528666973114","0.263295978307724","0.9940119981765747","0.96983562707901","0.9640997648239136","0.9760218262672424","0.9073078393936157","0.8969488739967346","0.9182862639427185","0.9950111309687296","0.9944384694099426","0.9957506656646729"
"12","0.9803848266601562","0.9772412180900574","0.9831677675247192","0.9688227415084839","0.9640953540802002","0.9758299589157104","0.3967220544815063","0.26159733533859253","0.6666666865348816","0.9664017558097839","0.9536414742469788","0.9751791954040527","0.899288821220398","0.8829338550567627","0.9116686582565308","0.9915711085001627","0.9896222949028015","0.9926164150238037"
"13","0.9810103654861451","0.9771034717559814","0.9857680797576904","0.9690840125083924","0.9641507267951965","0.9731675982475281","0.4349522560834885","0.20916466414928436","0.6538462042808533","0.9682028651237488","0.9611757397651672","0.9718462228775024","0.8849915504455567","0.8260990977287292","0.9126877784729004","0.9947007894515991","0.9936129450798035","0.9956865906715393"
"14","0.9822893619537354","0.9814662933349609","0.9837520122528076","0.9722691535949707","0.9711445569992065","0.9736689925193787","0.6100042581558227","0.2357008159160614","0.9090909361839294","0.9643147945404053","0.9538378715515137","0.9717894196510315","0.8986485004425049","0.8755460977554321","0.9079845547676086","0.9933933019638062","0.9924072027206421","0.99432373046875"
"15","0.9800185680389404","0.9777074456214905","0.9837453365325928","0.9670931458473205","0.9644759893417358","0.9725441336631775","0.5014634728431702","0.2600710988044739","0.794188916683197","0.967896294593811","0.964188814163208","0.9716648459434509","0.8927825212478637","0.869704008102417","0.9098349213600159","0.9924599528312683","0.9888759851455688","0.9952706694602966"
"16","0.9799480199813843","0.9768233895301819","0.9823740124702454","0.965561842918396","0.9590342044830322","0.9706419706344604","0.5515750646591187","0.18641868233680725","0.9557142853736877","0.9631120681762695","0.9552937746047974","0.9712472558021545","0.8895026564598083","0.837752640247345","0.9257057905197144","0.992388904094696","0.9901100397109985","0.9936102032661438"
"17","0.981344211101532","0.9796057939529419","0.9832703471183777","0.9694727420806885","0.966630756855011","0.9729951024055481","0.6920072853565216","0.30906593799591064","0.9317405819892883","0.964074182510376","0.9583222270011902","0.9692893028259277","0.892744243144989","0.8683518171310425","0.9177646040916443","0.9945921103159586","0.9944503903388977","0.9947570562362671"
"18","0.9812797904014587","0.9771343469619751","0.984287440776825","0.9702636361122131","0.9678438901901245","0.9730023145675659","0.6991675674915314","0.2966321110725403","0.985748291015625","0.9642694115638732","0.9592405557632446","0.9729511737823486","0.8766778588294983","0.7710742354393005","0.9128709435462952","0.9924210508664449","0.9887452125549316","0.9962250590324402"
"19","0.9794839143753051","0.9771002531051636","0.9818751215934753","0.9688732624053955","0.9606733322143555","0.9735910892486572","0.7698671281337738","0.44694533944129944","0.9728506803512573","0.9610063672065735","0.9560219645500183","0.9685484170913696","0.891474986076355","0.8754484057426453","0.9164382219314575","0.9935523867607117","0.9926062822341919","0.9943142533302307"
"20","0.9759680032730103","0.9638952612876892","0.9811989665031433","0.9677875518798829","0.9623172879219055","0.9721662402153015","0.784039169549942","0.41263940930366516","0.9816360473632812","0.9649877429008484","0.9610109925270081","0.9713829755783081","0.9061736702919007","0.9014886021614075","0.9107193946838379","0.9945985078811646","0.9934372901916504","0.995755672454834"
"21","0.979628050327301","0.9759641885757446","0.9823829531669617","0.9689885258674622","0.9650707840919495","0.9722822904586792","0.738252580165863","0.5197740197181702","0.9550561904907227","0.9626924753189087","0.954526960849762","0.9690242409706116","0.993649709224701","0.9892907738685608","0.9957253336906433","0.9943907459576925","0.9927595853805542","0.9956793189048767"
"22","0.9795682907104493","0.9755932688713074","0.9823545217514038","0.9679336190223694","0.9607062339782715","0.97245854139328","0.7498327314853668","0.4824797809123993","0.9822485446929932","0.9650261282920838","0.9557899832725525","0.9783194065093994","0.9861769914627075","0.9803193807601929","0.9915867447853088","0.9926150441169739","0.9915703535079956","0.9941461682319641"
"23","0.9788322687149048","0.9764387607574463","0.9810066819190979","0.970248281955719","0.9636022448539734","0.9755537509918213","0.7600027024745941","0.43895748257637024","0.970967710018158","0.9564410209655761","0.942081868648529","0.9691682457923889","0.985883605480194","0.983486533164978","0.987621545791626","0.9940843979517618","0.9924860000610352","0.9960132241249084"
"24","0.978377389907837","0.9749224781990051","0.9806633591651917","0.9681277394294738","0.9639543890953064","0.9726191759109497","0.7521362185478211","0.4839857816696167","0.9295302033424377","0.9631840825080872","0.9579158425331116","0.9709895253181458","0.9851367712020874","0.980003833770752","0.991844654083252","0.9927290876706442","0.9899269342422485","0.9946932792663574"
"25","0.9773294687271118","0.9744932055473328","0.979023814201355","0.9684605240821839","0.9644703269004822","0.9730490446090698","0.7480872392654419","0.3792325258255005","0.9559902548789978","0.9575451254844666","0.9515135288238525","0.9641439318656921","0.984049940109253","0.9805986881256104","0.9903075098991394","0.9951843818028768","0.9938262104988098","0.9964935183525085"
"26","0.9786632895469666","0.9766216278076172","0.9808236956596375","0.9668902158737183","0.9583109021186829","0.971306562423706","0.7256513357162475","0.3576512336730957","0.9380164742469788","0.9591314792633057","0.9528761506080627","0.9657588601112366","0.9866387724876404","0.982573926448822","0.9897304177284241","0.9923809170722961","0.9899354577064514","0.994736909866333"
"27","0.9785403251647949","0.9783393144607544","0.9788646697998047","0.968772828578949","0.9673855900764465","0.970055878162384","0.7750816464424133","0.5292929410934448","0.9384384751319885","0.9556989073753357","0.951327383518219","0.9637890458106995","0.9871833086013794","0.9814189672470093","0.9914772510528564","0.991830031077067","0.9890161752700806","0.994430661201477"
"28","0.9768202424049377","0.9744545221328735","0.9797598123550415","0.9667391419410706","0.9622364640235901","0.9699129462242126","0.7421580195426941","0.4701130986213684","0.9094488024711609","0.9588138341903687","0.9505133628845215","0.9631083011627197","0.9844608545303345","0.9806531667709351","0.9884467124938965","0.994718094666799","0.9927707314491272","0.9970069527626038"
"29","0.9782219409942627","0.9765195250511169","0.9801484942436218","0.9682456135749817","0.9637776017189026","0.9710530042648315","0.7785929441452026","0.349693238735199","0.9276595711708069","0.9592955231666564","0.949868381023407","0.9665965437889099","0.9853264331817627","0.9818847179412842","0.9902095198631287","0.9927032987276713","0.9919096827507019","0.9941805601119995"
"30","0.9769938826560974","0.9739826321601868","0.9799349308013916","0.9667534828186035","0.9621798396110535","0.9714059233665466","0.7765333890914917","0.515625","0.9390862584114075","0.9571212768554688","0.9525532126426697","0.9646629691123962","0.9845950365066528","0.9814381003379822","0.9895585179328918","0.9950281580289205","0.9945003390312195","0.9954142570495605"
